OBJECTID,PRIME,SOURCE,SACC,SDATE,DIVISION,FDMID,ADDDATE,MODDATE,Shape__Area,Shape__Length
50531,58,HRFE,Interactive,2015-10-22T00:00:00.000Z,2,588H,,2019-10-29T12:46:03.000Z,1720764.3359375,18796.3490171531
50532,08,HRFE,Interactive,2013-02-07T00:00:00.000Z,2,87H,,2019-10-29T12:46:03.000Z,830604.85546875,9396.71356532736
50533,02,HRFE,Interactive,2011-11-22T00:00:00.000Z,2,2A,,2019-10-29T12:46:03.000Z,14989089.8828125,19321.8430121617
50534,05,HRFE,Interactive,2011-11-22T00:00:00.000Z,2,5A,,2019-10-29T12:46:03.000Z,3495459.109375,8608.0859713097
50535,58,HRFE,Interactive,2011-09-13T00:00:00.000Z,2,583H,,2019-10-29T12:46:03.000Z,3789153,19982.0832132697
50536,29,HRFE,Interactive,2011-11-22T00:00:00.000Z,6,291D,,2019-10-29T12:46:04.000Z,251471956.742188,95337.0214577442
50537,35,HRFE,Interactive,2011-11-22T00:00:00.000Z,0,980D,,2019-10-29T12:46:04.000Z,10967993.8867188,15592.3276510062
50538,35,HRFE,Interactive,2011-11-22T00:00:00.000Z,4,351D,,2019-10-29T12:46:04.000Z,73510778.0234375,47765.7824483656
50539,18,HRFE,Interactive,2011-11-22T00:00:00.000Z,3,18A,,2019-10-29T12:46:04.000Z,30854204.9023438,42708.2724909175
50540,18,HRFE,Interactive,2013-02-07T00:00:00.000Z,3,186H,,2019-10-29T12:46:04.000Z,1090626.390625,18463.5871026119
50541,11,HRFE,Interactive,2011-11-22T00:00:00.000Z,3,11C,,2019-10-29T12:46:04.000Z,84378237.1914063,48767.9059159604
50542,MU,HRFE,Interactive,2011-11-22T00:00:00.000Z,3,990E,,2019-10-29T12:46:04.000Z,3129487.63671875,12204.0625918259
50543,48,HRFE,Interactive,2011-11-22T00:00:00.000Z,4,480D,,2019-10-29T12:46:04.000Z,144313339.859375,58284.1697323568
50544,EN,HRFE,Interactive,2011-11-22T00:00:00.000Z,4,702D,,2019-10-29T12:46:04.000Z,46977058.65625,50952.6499647595
50545,33,HRFE,Interactive,2011-11-22T00:00:00.000Z,6,331D,,2019-10-29T12:46:04.000Z,230506274.351563,111584.768421174
