YEAR,INCIDENTS,RATES,id,Region Id
12/31/2012 0:00,0,0,13,2
12/31/2013 0:00,0,0,9,2
12/31/2017 0:00,41,9.5,1,4
12/31/2017 0:00,0,0,6,1
12/31/2016 0:00,194,45.65,13,4
12/31/2012 0:00,0,0,4,1
12/31/2010 0:00,0,0,12,1
12/31/2017 0:00,0,0,9,2
12/31/2014 0:00,24,5.8,1,4
12/31/2015 0:00,34,8.16,12,4
12/31/2014 0:00,0,0,7,3
12/31/2014 0:00,0,0,5,1
12/31/2014 0:00,0,0,12,3
12/31/2011 0:00,0,0,12,2
12/31/2010 0:00,0,0,7,2
12/31/2017 0:00,8,1.85,4,4
12/31/2011 0:00,0,0,1,2
12/31/2011 0:00,0,0,3,1
12/31/2012 0:00,0,0,5,3
12/31/2013 0:00,249,60.72,13,4
12/31/2011 0:00,0,0,5,1
12/31/2011 0:00,0,0,6,2
12/31/2017 0:00,0,0,5,1
12/31/2016 0:00,0,0,3,1
12/31/2017 0:00,0,0,13,2
12/31/2010 0:00,0,0,13,2
12/31/2016 0:00,0,0,1,1
12/31/2013 0:00,6,1.46,4,4
12/31/2017 0:00,0,0,13,3
12/31/2010 0:00,0,0,5,3
12/31/2011 0:00,0,0,6,1
12/31/2010 0:00,0,0,1,1
12/31/2013 0:00,0,0,6,1
12/31/2015 0:00,1189,285.23,7,4
12/31/2016 0:00,0,0,13,2
12/31/2010 0:00,0,0,6,1
12/31/2017 0:00,0,0,6,2
12/31/2010 0:00,83,20.84,5,4
12/31/2017 0:00,0,0,11,3
12/31/2015 0:00,0,0,11,1
12/31/2012 0:00,19,4.67,14,4
12/31/2015 0:00,0,0,13,1
12/31/2015 0:00,0,0,1,2
12/31/2011 0:00,0,0,1,2
12/31/2013 0:00,0,0,10,1
12/31/2014 0:00,0,0,6,4
12/31/2010 0:00,0,0,1,3
12/31/2017 0:00,0,0,14,1
12/31/2012 0:00,0,0,3,2
12/31/2013 0:00,0,0,1,1
12/31/2013 0:00,1269,309.44,10,4
12/31/2010 0:00,10,2.51,6,4
12/31/2011 0:00,0,0,14,3
12/31/2012 0:00,0,0,14,1
12/31/2012 0:00,0,0,11,1
12/31/2013 0:00,0,0,8,2
12/31/2013 0:00,0,0,15,2
12/31/2016 0:00,631,148.48,5,4
12/31/2011 0:00,0,0,4,2
12/31/2014 0:00,0,0,8,3
12/31/2017 0:00,0,0,12,1
12/31/2015 0:00,0,0,6,1
12/31/2015 0:00,0,0,5,1
12/31/2015 0:00,0,0,6,1
12/31/2012 0:00,0,0,4,2
12/31/2010 0:00,0,0,6,2
12/31/2017 0:00,0,0,5,1
12/31/2015 0:00,0,0,9,1
12/31/2012 0:00,0,0,5,1
12/31/2014 0:00,406,98.16,13,4
12/31/2017 0:00,0,0,9,3
12/31/2013 0:00,0,0,1,2
12/31/2014 0:00,0,0,8,2
12/31/2017 0:00,0,0,6,4
12/31/2014 0:00,0,0,14,3
12/31/2015 0:00,0,0,5,3
12/31/2014 0:00,0,0,1,1
12/31/2010 0:00,0,0,13,1
12/31/2016 0:00,12,2.82,3,4
12/31/2011 0:00,6,1.49,6,4
12/31/2017 0:00,0,0,6,3
12/31/2013 0:00,0,0,6,3
12/31/2011 0:00,20,4.97,14,4
12/31/2016 0:00,0,0,9,1
12/31/2011 0:00,0,0,4,3
12/31/2016 0:00,0,0,10,2
12/31/2015 0:00,0,0,1,3
12/31/2015 0:00,0,0,8,2
12/31/2011 0:00,1469,365.02,10,4
12/31/2012 0:00,0,0,5,1
12/31/2017 0:00,1863,431.53,1,4
12/31/2013 0:00,0,0,4,2
12/31/2011 0:00,0,0,10,1
12/31/2010 0:00,2493,625.99,7,4
12/31/2010 0:00,0,0,4,1
12/31/2010 0:00,834,209.42,5,4
12/31/2012 0:00,0,0,8,3
12/31/2017 0:00,0,0,15,3
12/31/2015 0:00,3,0.72,6,4
12/31/2013 0:00,521,127.04,1,4
12/31/2015 0:00,0,0,5,1
12/31/2014 0:00,0,0,6,3
12/31/2015 0:00,0,0,4,1
12/31/2016 0:00,0,0,5,1
12/31/2013 0:00,0,0,12,1
12/31/2016 0:00,0,0,14,3
