Longitude,Latitude,Crime ID,evt_date,location,zone,rucr,Crime offense ID
-63.68012082,44.7654709,26229,2020-02-05T00:00:00.000Z,SACKVILLE DR,SAC,2120,2
-63.63988823,44.65412585,26230,2020-02-05T00:00:00.000Z,RUFUS AVE,W3,2142,13
-63.67673638,44.7148864,26231,2020-02-05T00:00:00.000Z,BEDFORD HWY,W6,2142,13
-63.28162087,44.74420461,26232,2020-02-05T00:00:00.000Z,HIGHWAY 7,POR,1430,1
-63.67413704,44.65657441,26233,2020-02-05T00:00:00.000Z,CHAIN LAKE DR,W4,1430,1
-63.63760218,44.64950399,26234,2020-02-05T00:00:00.000Z,SCHOOL AVE,W3,2120,2
-63.59043143,44.68754486,26235,2020-02-05T00:00:00.000Z,HIGHFIELD PARK DR,E5,1420,1
-63.58466417,44.68003738,26236,2020-02-05T00:00:00.000Z,VICTORIA RD,E5,1420,1
-63.67367488,44.76216044,26237,2020-02-06T00:00:00.000Z,SACKVILLE DR,SAC,1610,13
-63.71407006,44.78875522,26238,2020-02-06T00:00:00.000Z,SACKVILLE DR,MSA,1430,1
-63.63634696,44.66030817,26239,2020-02-06T00:00:00.000Z,A EVANS AVE,W3,1420,1
-63.67065066,44.7289076,26240,2020-02-06T00:00:00.000Z,FREDERICK ST,W6,1420,1
-63.55716484,44.68454326,26241,2020-02-06T00:00:00.000Z,MICMAC BLVD,E4,1430,1
-63.58175781,44.62935864,26242,2020-02-06T00:00:00.000Z,ROBIE ST,C1,2142,13
-63.67087549,44.76541117,26243,2020-02-06T00:00:00.000Z,PRINCE ST,SAC,1430,1
-63.57905147,44.62903592,26244,2020-02-06T00:00:00.000Z,ROGERS DR,C1,2142,13
-63.62120846,44.60947364,26245,2020-02-06T00:00:00.000Z,CLEARVIEW ST,W1,2142,13
-63.51649429,44.67175104,26246,2020-02-07T00:00:00.000Z,PEMBROKE CRT,E1,1430,1
-63.47664508,44.65651364,26247,2020-02-07T00:00:00.000Z,ASTRAL DR,COL,2120,2
-63.51649429,44.67175104,26248,2020-02-07T00:00:00.000Z,PEMBROKE CRT,E1,1430,1
-63.87200474,44.49365245,26249,2020-02-07T00:00:00.000Z,MORLANSON LANE,PRO,1430,1
-63.60646497,44.59996076,26250,2020-02-07T00:00:00.000Z,HERRING COVE RD,W1,1430,1
-63.60273913,44.66444025,26251,2020-02-07T00:00:00.000Z,NOVALEA DR / KENNY ST,C5,2135,13
-63.63950104,44.75101451,26252,2020-02-07T00:00:00.000Z,DAMASCUS RD,W6,1610,13
-63.61468288,44.67169066,26253,2020-02-07T00:00:00.000Z,STONEHAM CRT,C5,2142,13
-63.58046522,44.69849153,26254,2020-02-07T00:00:00.000Z,BROWNLOW AVE,E6,2142,13
-63.50231867,44.67621556,26255,2020-02-08T00:00:00.000Z,POPLAR DR,FOR,1430,1
