OBJECTID,BUSSTOPID,STOPNUMBER,LTAR,LOCATION,FCODE,ADDDATE,MODDATE
1616,BS118,8931,Yes,Hwy 7 After 2nd Old Preston Rd (8931),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-09-19T00:00:00.000Z
1617,BS2699,8687,Yes,Hwy 7 After Civic 4225 (8687),Conventional Transit Bus Stop,2016-11-14T00:00:00.000Z,2018-09-19T00:00:00.000Z
1618,BS301,6782,Yes,Gottingen St Before Russell St (6782),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
1619,BS2458,6864,Yes,Herring Cove Rd After Levis St (6864),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
1620,BS615,6907,Yes,Herring Cove Rd Before Levis St (6907),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
1621,BS297,7194,Yes,Meadowbrook Dr After Pleasant St (7194),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
1622,BS662,7193,Yes,Meadowbrook Dr Before Pleasant St (7193),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
1623,BS2407,7447,Yes,Pettipas Dr After Vidito Dr (7447),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
1624,BS1808,8649,Yes,Point Pleasant Park Lower Lot (8649),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
1625,BS1447,8796,Yes,Hwy 207 At Bellefontaine Rd (8796),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-10-30T00:00:00.000Z
1626,BS1239,9015,No,Barnes Dr Opposite Civic 675 (9015),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
1627,BS1865,6453,Yes,Coburg Rd After Oxford St (6453),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
1628,BS856,7401,Yes,Oxford St After Coburg Rd (7401),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
1629,BS2773,8704,No,Pratt And Whitney Dr At Civic 645 (8704),Conventional Transit Bus Stop,2018-04-27T00:00:00.000Z,2019-10-21T00:00:00.000Z
1630,BS2774,8705,No,Pratt And Whitney Dr Opposite Civic 645 (8705),Conventional Transit Bus Stop,2018-04-27T00:00:00.000Z,2019-10-21T00:00:00.000Z
1631,BS1910,8113,Yes,Purcells Cove Rd Opposite Melvin Rd (8113),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
1632,BS1848,8239,Yes,James St Before St Margarets Bay Rd (8239),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-10-03T00:00:00.000Z
1633,BS1847,8238,Yes,James St After St Margarets Bay Rd (8238),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-10-03T00:00:00.000Z
1634,BS1911,8114,Yes,Purcells Cove Rd Before Oceanview Dr (8114),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
1635,BS741,6765,Yes,Gloria McCluskey Ave After Akerley Blvd (6765),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
1636,BS15,8913,Yes,Hwy 7 After Laurie Ln (8913),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-10-29T00:00:00.000Z
1637,BS1435,8785,Yes,Hwy 7 After This St (8785),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-10-29T00:00:00.000Z
1638,BS89,7275,Yes,Mumford Rd After Chebucto Rd (7275),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
1639,BS1454,7163,Yes,Main Ave After Ford St (7163),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-10-16T00:00:00.000Z
1640,BS1459,7168,Yes,Main Ave Before Borden St (7168),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
1641,BS1820,6305,Yes,Booth St After Scotsburn Ave (6305),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-10-16T00:00:00.000Z
1642,BS1821,6306,Yes,Booth St After Main St (6306),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-10-16T00:00:00.000Z
1643,BS1458,7167,Yes,Main Ave At Flint St (7167),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
1644,BS1461,7170,Yes,Main Ave Before Gebhardt St (7170),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-10-16T00:00:00.000Z
1645,BS113,8926,Yes,Upper Partridge River Rd Before Civic 103 (8926),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-09-18T00:00:00.000Z
1646,BS1429,8780,Yes,Hwy 7 After Circle Dr (8780),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-09-18T00:00:00.000Z
1647,BS21,8918,Yes,Hwy 7 Before Circle Dr (8918),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-09-18T00:00:00.000Z
1648,BS19,8917,Yes,Hwy 7 Before 2nd Bluerock Rd (8917),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-09-18T00:00:00.000Z
