OBJECTID,BUSSTOPID,STOPNUMBER,LTAR,LOCATION,FCODE,ADDDATE,MODDATE
1,BS2205,8446,Yes,Waverley Rd Before Breeze Dr (8446),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
2,BS2207,8448,Yes,Waverley Rd Before Micmac Dr (8448),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
3,BS2109,8468,Yes,Waverley Rd Before Ellis Ct (8468),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
4,BS1463,8486,Yes,Wildwood Blvd Before Roslyn Dr (8486),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
5,BS1465,8488,Yes,Willett St After Chadwick Pl (8488),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
6,BS1466,8489,Yes,Willett St After Chelsea Ln (8489),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
7,BS1750,8491,Yes,Willett St After Dunbrack St (8491),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
8,BS1751,8492,Yes,Willett St After Glenforest Dr (8492),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
9,BS1752,8493,Yes,Willett St After Main Ave (8493),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
10,BS1758,8499,Yes,Willett St Before Apollo Ct (8499),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
11,BS1736,7086,Yes,Willett St Before Lacewood Dr (7086),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
12,BS1761,8502,Yes,Willett St After Frederick Ave (8502),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
13,BS1754,8495,Yes,Willett St Opposite Glenforest Dr (8495),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
14,BS1755,8496,Yes,Willett St After 2nd Harlington Cr (8496),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
15,BS182,6483,Yes,Colford Ave Before Akerley Blvd (6483),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
16,BS1342,8853,Yes,Commodore Dr After Countryview Dr (8853),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
17,BS2321,6498,Yes,Connaught Ave Before Roslyn Rd (6498),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
18,BS2322,6499,Yes,Connaught Ave After Chisholm Ave (6499),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
19,BS2327,6504,Yes,Cornwallis St Before Maynard St (6504),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
20,BS1667,8675,Yes,Cow Bay Rd Before Aubrey Terr (8675),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
21,BS1672,8679,Yes,Cow Bay Rd After Disciples Way (8679),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
22,BS847,6006,Yes,Akerley Blvd After Morris Dr (6006),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
23,BS843,6002,Yes,Akerley Blvd After Joseph Zatzman Dr (6002),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
24,BS1363,9061,Yes,Albemarle St After Duke St (9061),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
25,BS2015,6080,Yes,Auburn Dr Before 1st Hirandale Cr (6080),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
26,BS1325,8842,Yes,Baker Dr After Coldstream Run (8842),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
27,BS1334,8851,Yes,Baker Dr After Coldstream Run (8851),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
28,BS1332,9067,Yes,Baker Dr After Lindenwood Terr (9067),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
29,BS1330,8847,Yes,Baker Dr Before Basswood Run (8847),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
30,BS1882,6089,Yes,Barrington St After Upper Water St (6089),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
31,BS2188,6111,Yes,Barrington St Before Inglis St (6111),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
32,BS787,6203,Yes,Bayers Rd Before Connolly St (6203),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
33,BS178,6479,Yes,Cole Harbour Rd After Hugh Allen Dr (6479),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
34,BS125,8938,Yes,Cole Harbour Rd At Old Lawrencetown Rd (8938),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-05-08T00:00:00.000Z
35,BS1611,8760,Yes,Cole Harbour Rd Before Ross Rd (8760),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-05-08T00:00:00.000Z
36,BS126,8939,Yes,Cole Harbour Rd Before Bisset Rd (8939),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
37,BS1610,8759,Yes,Cole Harbour Rd After Bisset Rd (8759),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
38,BS2209,8450,Yes,Waverley Rd After Boutiliers Ln (8450),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
39,BS2210,8451,Yes,Waverley Rd Before Lethbridge Ave (8451),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
40,BS1032,8440,Yes,Waverley Rd After Lethbridge Ave (8440),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
41,BS1033,8441,Yes,Waverley Rd Before Montebello Dr (8441),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
42,BS1034,8442,Yes,Waverley Rd After Micmac Dr (8442),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
43,BS2450,6856,Yes,Herring Cove Rd After Cowie Hill Rd (6856),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
44,BS2454,6860,Yes,Herring Cove Rd After Glenora Ave (6860),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
45,BS2451,6857,Yes,Herring Cove Rd After Denitith Rd (6857),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
46,BS2457,6863,Yes,Herring Cove Rd After Hartlen Ave (6863),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
47,BS2245,6848,Yes,Herring Cove Rd After Highfield St (6848),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
48,BS2452,6858,Yes,Herring Cove Rd After Drysdale Rd (6858),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
49,BS713,6890,Yes,Herring Cove Rd Before Circle Dr (6890),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
50,BS716,6893,Yes,Herring Cove Rd After Civic 565 (6893),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
51,BS2460,6866,Yes,Herring Cove Rd Before Dentith Rd (6866),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
52,BS2461,6867,Yes,Herring Cove Rd After Williams Lake Rd (6867),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
53,BS252,8313,Yes,South Park St Before University Ave (8313),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
54,BS254,8315,Yes,South Park St After Fenwick St (8315),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-07-05T00:00:00.000Z
55,BS165,8293,Yes,South St Before Barrington St (8293),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
56,BS234,8295,Yes,South St After South Park St (8295),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
57,BS244,8305,Yes,South St Before Tower Rd (8305),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-07-09T00:00:00.000Z
58,BS1489,6057,Yes,Astral Dr Before Grenadier Dr (6057),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
59,BS1492,6060,Yes,Astral Dr Before Spence Dr (6060),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
60,BS2017,6082,Yes,Avenue du Portage Opposite Madeline Pl (6082),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
61,BS1333,8850,Yes,Baker Dr Before Freshwater Tr (8850),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
62,BS1335,8852,Yes,Baker Dr Before Norm Newman Dr (8852),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
63,BS1328,8845,Yes,Baker Dr At Civic 220 (8845),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
64,BS1329,8846,Yes,Baker Dr After Basswood Run (8846),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
65,BS1326,8843,Yes,Baker Dr After Freshwater Tr (8843),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
66,BS1331,8848,Yes,Baker Dr Opposite Civic 220 (8848),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
67,BS2779,9066,Yes,Baker Dr After Lindenwood Terr (9066),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-10-21T00:00:00.000Z
68,BS1324,8841,Yes,Baker Dr After Norm Newman Dr (8841),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
69,BS1809,8650,Yes,St Margarets Bay Rd At Civic 704 (8650),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
70,BS1811,8652,Yes,St Margarets Bay Rd At Civic 701 (8652),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
71,BS463,6164,Yes,St Margarets Bay Rd Opposite Boylan Ln (6164),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-10-08T00:00:00.000Z
72,BS565,6181,Yes,St Margarets Bay Rd Before Raines Mill Rd (6181),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
73,BS465,6166,Yes,St Margarets Bay Rd Opposite Power Terr (6166),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-10-08T00:00:00.000Z
74,BS466,6167,Yes,St Margarets Bay Rd After Donovon Dr (6167),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
75,BS460,6161,Yes,St Margarets Bay Rd At Civic 1820 (6161),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-10-08T00:00:00.000Z
76,BS554,6170,Yes,St Margarets Bay Rd At Civic 1922 (6170),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
77,BS448,6149,Yes,St Margarets Bay Rd At Civic 1939 (6149),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
78,BS450,6151,Yes,St Margarets Bay Rd Before Halfmile Ln (6151),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-10-08T00:00:00.000Z
79,BS455,6156,Yes,St Margarets Bay Rd After Greenhead Rd (6156),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
80,BS459,6160,Yes,St Margarets Bay Rd After Lakelands Blvd (6160),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
81,BS555,6171,Yes,St Margarets Bay Rd Before Alderwood Dr (6171),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
82,BS557,6173,Yes,St Margarets Bay Rd Opposite Klefenz Ln (6173),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-10-08T00:00:00.000Z
83,BS558,6174,Yes,St Margarets Bay Rd After Maplewood Dr (6174),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
84,BS559,6175,Yes,St Margarets Bay Rd After Clearwater Dr (6175),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
85,BS566,6182,Yes,St Margarets Bay Rd At Wilbert Devoe Cr (6182),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-10-08T00:00:00.000Z
86,BS505,6732,Yes,Gaston Rd After Portland St (6732),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
87,BS497,6724,Yes,Gaston Rd After Regency Dr (6724),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
88,BS1674,8681,Yes,Glendale Ave At Civic 19 (8681),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
89,BS512,6739,Yes,Glendale Dr After Cobequid Rd (6739),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
90,BS513,6740,Yes,Glendale Dr After McDougall Ave (6740),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
91,BS517,6744,Yes,Glendale Dr After Pinehill Dr (6744),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
92,BS521,6748,Yes,Glendale Dr Before Beaver Bank Rd (6748),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
93,BS514,6741,Yes,Glendale Dr Before McGee Dr (6741),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
94,BS415,6756,Yes,Glendale Dr Before Pinehill Dr (6756),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
95,BS416,6757,Yes,Glendale Dr Before Riverside Dr (6757),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
96,BS2236,6836,Yes,Hawthorne St After Prince Albert Rd (6836),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
97,BS2465,6871,Yes,Herring Cove Rd Before Mont St (6871),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
98,BS2466,6872,Yes,Herring Cove Rd At Civic 236 (6872),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
99,BS2469,6875,Yes,Herring Cove Rd After Auburn Ave (6875),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
100,BS2241,6844,Yes,Herring Cove Rd Before Winchester Ave (6844),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
101,BS614,6906,Yes,Herring Cove Rd At Winchester Ave (6906),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
102,BS2247,6850,Yes,Herring Cove Rd After Brighton Ave (6850),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
103,BS2249,6852,Yes,Herring Cove Rd After Catamaran Rd (6852),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
104,BS2250,6853,Yes,Herring Cove Rd Before Dentith Rd (6853),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
105,BS2606,9102,Yes,Lacewood Terminal Bay 2 (9102),Terminal,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
106,BS2607,9103,Yes,Lacewood Terminal Bay 3 (9103),Terminal,2016-07-29T00:00:00.000Z,2018-05-08T00:00:00.000Z
107,BS2608,9104,Yes,Lacewood Terminal Bay 4 (9104),Terminal,2016-07-29T00:00:00.000Z,2018-05-08T00:00:00.000Z
108,BS2609,9105,Yes,Lacewood Terminal Bay 5 (9105),Terminal,2016-07-29T00:00:00.000Z,2018-05-08T00:00:00.000Z
109,BS2610,9106,Yes,Lacewood Terminal Bay 6 (9106),Terminal,2016-07-29T00:00:00.000Z,2018-05-08T00:00:00.000Z
110,BS37,7308,Yes,Sackville Dr After Hamilton Dr (7308),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
111,BS1314,8813,Yes,Walter Havill Dr Before Osborne St (8813),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
112,BS1311,8805,Yes,Walter Havill Dr After 1st Stone Gate Dr (8805),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
113,BS1313,8812,Yes,Walter Havill Dr Before Ridgestone Ct (8812),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
114,BS2208,8449,Yes,Waverley Rd Before Spider Lake Rd (8449),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
115,BS2108,8467,Yes,Waverley Rd After Spider Lake Dr (8467),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
116,BS2211,8452,Yes,Waverley Rd After Breeze Dr (8452),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
117,BS2212,8453,Yes,Waverley Rd Opposite Hemlock St (8453),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
118,BS2116,8476,Yes,Waverley Rd At Civic 408 (8476),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
119,BS2213,8454,Yes,Waverley Rd At Civic 409 (8454),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
120,BS2214,8455,Yes,Waverley Rd After Twilight Ln (8455),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
121,BS2117,8477,Yes,Waverley Rd After Rocklin Dr (8477),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
122,BS2215,8456,Yes,Waverley Rd At Civic 732 (8456),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
123,BS366,6184,Yes,St Margarets Bay Rd Opposite Civic 1264 (6184),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-10-08T00:00:00.000Z
124,BS368,6186,Yes,St Margarets Bay Rd After Governors Lake Dr (6186),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
125,BS442,6143,Yes,St Margarets Bay Rd Opposite Civic 1982 (6143),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-10-08T00:00:00.000Z
126,BS369,6187,Yes,St Margarets Bay Rd After Ferndale Dr (6187),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
127,BS370,6188,Yes,St Margarets Bay Rd After Lakeside Park Dr (6188),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
128,BS1815,8656,Yes,Gale Terr After Commodore Dr (8656),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
129,BS233,8887,Yes,Gary Martin Dr Before Hammonds Plains Rd (8887),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
130,BS498,6725,Yes,Gaston Rd After Lacomb Dr (6725),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
131,BS235,8296,Yes,South St After Robie St (8296),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-07-09T00:00:00.000Z
132,BS236,8297,Yes,South St Before Robie St (8297),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-07-09T00:00:00.000Z
133,BS255,8316,Yes,South St After Cartaret St (8316),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
134,BS163,8291,Yes,South St Before Studley Ave (8291),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
135,BS238,8299,Yes,South St Before Queen St (8299),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-07-09T00:00:00.000Z
136,BS164,8292,Yes,Somerset St Before Berkley Brae (8289),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-07-09T00:00:00.000Z
137,BS239,8300,Yes,South St Before South Park St (8300),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
138,BS240,8301,Yes,South St Before Tower Rd (8301),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-07-09T00:00:00.000Z
139,BS241,8302,Yes,South St Opposite Cartaret St (8302),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
140,BS243,8304,Yes,South St After Studley Ave (8304),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
141,BS258,8319,Yes,Spikenard St Before Valleyfield Rd (8319),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
142,BS1673,8680,Yes,Spring Ave Before Portland St (8680),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
143,BS705,8375,Yes,Taranaki Dr After Karen Dr (8375),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-07-09T00:00:00.000Z
144,BS706,8376,Yes,Taranaki Dr After Greely Ct (8376),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
145,BS878,8377,Yes,Taranaki Dr Before Greely Ct (8377),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
146,BS879,8378,Yes,Taranaki Dr Before Forest Hills Pky (8378),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
147,BS1247,7601,Yes,Bridge Terminal Bay 1 (7601),Terminal,2016-07-29T00:00:00.000Z,2019-10-08T00:00:00.000Z
148,BS1601,7610,Yes,Bridge Terminal Bay 10 (7610),Terminal,2016-07-29T00:00:00.000Z,2019-10-08T00:00:00.000Z
149,BS1602,7611,Yes,Bridge Terminal Bay 11 (7611),Terminal,2016-07-29T00:00:00.000Z,2019-10-08T00:00:00.000Z
150,BS1603,7612,Yes,Bridge Terminal Bay 12 (7612),Terminal,2016-07-29T00:00:00.000Z,2019-10-08T00:00:00.000Z
151,BS1604,7613,Yes,Bridge Terminal Bay 13 (7613),Terminal,2016-07-29T00:00:00.000Z,2019-10-08T00:00:00.000Z
152,BS1605,7614,Yes,Bridge Terminal Bay 14 (7614),Terminal,2016-07-29T00:00:00.000Z,2019-10-08T00:00:00.000Z
153,BS1134,8344,Yes,Springvale Ave Before Joseph Howe Dr (8344),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
154,BS1651,8242,Yes,Rosedale Ave At Civic 34 (8242),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-10-08T00:00:00.000Z
155,BS1656,8248,Yes,Rosedale Ave Before Alex St (8248),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
156,BS1615,8764,Yes,Ross Rd At Civic 156 (8764),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-05-08T00:00:00.000Z
157,BS121,8934,Yes,Ross Rd At Civic 163 (8934),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-05-08T00:00:00.000Z
158,BS120,8933,Yes,Ross Rd After Salmon River Dr (8933),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
159,BS122,8935,Yes,Ross Rd Before Glendale Dr (8935),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-05-08T00:00:00.000Z
160,BS1614,8763,Yes,Ross Rd After Glendale Dr (8763),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-05-08T00:00:00.000Z
161,BS1616,8765,Yes,Ross Rd Before Salmon River Dr (8765),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
162,BS1613,8762,Yes,Ross Rd After Brookside Ave (8762),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-05-08T00:00:00.000Z
163,BS123,8936,Yes,Ross Rd Before Brookside Ave (8936),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-05-08T00:00:00.000Z
164,BS124,8937,Yes,Ross Rd After Greenvale Cr (8937),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-05-08T00:00:00.000Z
165,BS1774,8666,Yes,Cow Bay Rd After Caldwell Rd (8666),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
166,BS2332,6510,Yes,Cow Bay Rd After Oceanlea Dr (6510),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
167,BS1670,8677,Yes,Cow Bay Rd After Ridding Rd (8677),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
168,BS1668,8676,Yes,Cow Bay Rd Opposite Garrison Dr (8676),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
169,BS2237,6837,Yes,Hawthorne St After Prince Albert Rd (6837),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
170,BS2239,6839,Yes,Hawthorne St Before Prince Albert Rd (6839),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
171,BS2463,6869,Yes,Herring Cove Rd Before Shoreham Ln (6869),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
172,BS2464,6870,Yes,Herring Cove Rd After McMullen Rd (6870),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
