OBJECTID,PARK_ID,OWNER,HRMINTRST,HECTARES,NAMESTATUS,NAMEAPRDTE,PARK_MAINT,GROUP_ID,ADDDATE,MODDATE,SDATE,SOURCE,SACC,GLOBALID,PARK_NAME,PARK_TYPE,DEVELOPED,CIVIC_ID,Shape__Area,Shape__Length
22,5127,Halifax,Yes,2.96,N,,Shared,285,2019-02-08T21:05:13.000Z,2018-01-22T19:23:04.000Z,2007-11-06T13:52:41.000Z,Asset Management Project,,3af9c2f6-6cc4-45e2-8380-58a00b07f5b6,GRAHAM CREIGHTON JUNIOR HIGH SCHOOL PARK,Community,Yes,106646,58702.03516,1180.732123
23,5129,Halifax,Yes,0.12,N,,HRM,5081,2019-02-08T21:05:13.000Z,2018-01-22T19:23:02.000Z,2007-12-03T15:19:15.000Z,Municipal Owned Property,,d1f96789-35c2-443a-bab0-7523e137f28b,CROWELL ROAD PARK,Neighbourhood,No,147479,2395.984375,210.05511
24,5130,Halifax,Yes,0.51,N,,HRM,2700,2019-02-08T21:05:13.000Z,2018-01-22T19:23:04.000Z,2007-11-06T13:52:44.000Z,Asset Management Project,,ff095c97-d430-4ab2-abb5-542743f16286,SCHWARZWALD PARK,Neighbourhood,Yes,95700,10053.68359,412.2366053
25,2904,Halifax,Yes,0.48,N,,HRM,2904,2019-02-08T21:05:13.000Z,2018-01-22T19:23:03.000Z,2008-09-17T00:00:00.000Z,Parkland Planners,,123e39d4-22d9-425b-8ad3-97e287f6c787,LEEWARD AVENUE PARK,Community,Yes,131339,9526.207031,420.9913716
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
