CIV_POSTAL,CIV_ID,STR_CODE,GSA_NAME
B3H 1G4,80588,48,HALIFAX
B3H 2B2,77940,633,HALIFAX
B3K 2S5,61901,402,HALIFAX
B3A 0B7,142658,16708,DARTMOUTH
B3A 4H6,52003,6664,DARTMOUTH
B3A 2M9,52092,6141,DARTMOUTH
B3N 3M1,129605,565,HALIFAX
B2Y 4V5,121163,15627,DARTMOUTH
B3A 0B3,142529,16676,DARTMOUTH
B2W 3Y7,113159,6629,DARTMOUTH
B3L 3C7,75492,32,HALIFAX
B3J 2H3,77555,673,HALIFAX
B3P 2M4,135822,128,HALIFAX
B2W 0B6,54497,16616,DARTMOUTH
B3A 2Z6,57233,6811,DARTMOUTH
B3K 5N8,141448,214,HALIFAX
B3M 3J7,14046,787,HALIFAX
B2Y 3L1,54822,6560,DARTMOUTH
B3K 2G8,62772,200,HALIFAX
B3H 4S1,76242,793,HALIFAX
B2W 2P9,56169,6380,DARTMOUTH
B3K 3Y8,62657,421,HALIFAX
B3P 1R8,84153,895,HALIFAX
B3A 2S5,57512,6667,DARTMOUTH
B3K 4T4,59465,701,HALIFAX
B3K 2H9,62934,557,HALIFAX
B3P 1R5,82629,627,HALIFAX
B3P 1G8,84412,5,HALIFAX
B3A 1A2,61427,6608,DARTMOUTH
B3P 2J3,83472,970,HALIFAX
B3M 1N6,13806,387,HALIFAX
B3A 2H1,50856,6030,DARTMOUTH
B2W 0H8,144068,16800,DARTMOUTH
B3M 2Y5,14108,245,HALIFAX
B3M 1V6,11587,588,HALIFAX
B3N 1L1,22069,233,HALIFAX
B3A 1P4,132090,6817,DARTMOUTH
B2X 3V8,128048,8032,DARTMOUTH
B3M 2T8,11392,799,HALIFAX
B3S 1M3,11415,1077,HALIFAX
B2W 6S1,143261,16240,DARTMOUTH
B3M 3A4,8680,156,HALIFAX
B3S 1L1,11666,15511,HALIFAX
B3P 1H4,83817,51,HALIFAX
B3M 2G7,8103,494,HALIFAX
B3K 2B2,63763,437,HALIFAX
B3L 1G5,74826,808,HALIFAX
B2W 4Z1,110911,6314,DARTMOUTH
B3H 3H4,78745,284,HALIFAX
B2W 2W3,54813,6211,DARTMOUTH
B2Y 1S3,54880,6612,DARTMOUTH
B3H 3L7,81498,76,HALIFAX
B3P 2C8,81519,874,HALIFAX
B3P 2L5,82498,1,HALIFAX
B2X 2T1,104119,6370,DARTMOUTH
B3P 2K4,82638,917,HALIFAX
B3P 1T3,84025,869,HALIFAX
B3J 1Z6,136038,59,HALIFAX
B3N 2K6,135967,337,HALIFAX
B3K 6R6,128227,555,HALIFAX
B3P 2J6,82404,158,HALIFAX
B3M 3R1,13050,903,HALIFAX
B3M 2G8,8359,372,HALIFAX
B3N 3A5,82324,577,HALIFAX
B2W 1C6,72864,6315,DARTMOUTH
B3S 1H5,13093,1145,HALIFAX
B2Y 1L8,59745,6543,DARTMOUTH
B2Y 2J4,63162,6544,DARTMOUTH
B3A 2Z8,59845,6413,DARTMOUTH
B3H 1S7,79040,765,HALIFAX
B2Y 3J5,54587,6301,DARTMOUTH
B3N 1M4,77857,36,HALIFAX
B3R 2H7,87173,975,HALIFAX
B3H 3W9,77918,467,HALIFAX
B3A 4G1,50461,6094,DARTMOUTH
B3H 3Y8,79672,619,HALIFAX
B3H 4A6,78053,146,HALIFAX
B2W 1V2,54806,6010,DARTMOUTH
B3A 3G2,56074,6327,DARTMOUTH
B2W 1A6,74336,6533,DARTMOUTH
B2W 2A6,51909,6517,DARTMOUTH
B2X 1H6,48692,6291,DARTMOUTH
B2X 1W4,50414,6005,DARTMOUTH
B2W 3J1,50422,6600,DARTMOUTH
B2W 3J6,51438,6217,DARTMOUTH
B2W 1S4,51465,6297,DARTMOUTH
B2X 2A4,48319,6282,DARTMOUTH
B2W 2J3,52017,6412,DARTMOUTH
B3P 2H3,85553,609,HALIFAX
B3K 1W4,65656,508,HALIFAX
B3L 3S3,68372,350,HALIFAX
B3R 1C4,25416,888,HALIFAX
B2W 2E1,115833,6047,DARTMOUTH
B3N 3G5,127685,1072,HALIFAX
B3L 3H5,141514,178,HALIFAX
B2W 4C6,56022,6622,DARTMOUTH
B2Y 2K8,60954,6352,DARTMOUTH
B3P 1G1,82891,229,HALIFAX
B2Y 2P4,61288,6205,DARTMOUTH
B3M 4K5,13214,1050,HALIFAX
B3K 5R9,59062,1013,HALIFAX
B3P 2L6,82362,134,HALIFAX
B2X 1K6,48330,6282,DARTMOUTH
B2Y 2M1,65614,6434,DARTMOUTH
B3K 1K8,68342,165,HALIFAX
B2Y 2M4,65926,6561,DARTMOUTH
B2W 0G4,141303,16665,DARTMOUTH
B3L 2B2,69152,63,HALIFAX
B2Y 2K6,62519,6352,DARTMOUTH
B3M 1S1,11252,30,HALIFAX
B3K 4K2,69592,574,HALIFAX
B3L 2P6,66693,510,HALIFAX
B3L 1E9,73572,902,HALIFAX
B3M 4L3,13854,462,HALIFAX
B3M 1H8,15541,351,HALIFAX
B2Y 1V2,57828,6680,DARTMOUTH
B3A 3M6,55014,6586,DARTMOUTH
B3A 4B6,55035,6452,DARTMOUTH
B2W 1P8,53696,6614,DARTMOUTH
B3A 2V6,56576,6653,DARTMOUTH
B3H 3W8,77909,467,HALIFAX
B3A 0A8,142594,16676,DARTMOUTH
B3H 3J1,76750,284,HALIFAX
B2X 2Y7,104942,6694,DARTMOUTH
B3M 4T7,139273,15584,HALIFAX
B3L 3E7,74650,674,HALIFAX
B3M 4T7,139233,15584,HALIFAX
B3M 1K2,15776,804,HALIFAX
B3R 1E9,25056,318,HALIFAX
B3L 4X3,131941,409,HALIFAX
B3H 3E7,75946,701,HALIFAX
B3H 1N5,80638,687,HALIFAX
B3P 1S9,84431,869,HALIFAX
B3L 3G6,74573,861,HALIFAX
B2Y 3C8,59777,6347,DARTMOUTH
B2Y 3C7,59815,6347,DARTMOUTH
B3M 4S6,8464,1074,HALIFAX
B3K 3P5,59372,4,HALIFAX
B3H 3S5,76109,845,HALIFAX
B3L 1T3,68847,875,HALIFAX
B2Y 3S2,66480,6533,DARTMOUTH
B3M 2Z7,8624,434,HALIFAX
B3M 1W8,10162,650,HALIFAX
B3M 0C2,9618,16581,HALIFAX
B2W 1H5,71634,6395,DARTMOUTH
B3M 2V2,9840,816,HALIFAX
B3A 4H7,52940,6664,DARTMOUTH
B3R 1L3,86994,268,HALIFAX
B3P 1K4,81294,395,HALIFAX
B3N 2M7,17610,215,HALIFAX
B2Y 3G5,55394,6122,DARTMOUTH
B2W 2P9,56715,6380,DARTMOUTH
B3A 4A6,49887,6337,DARTMOUTH
B3K 2E2,64244,776,HALIFAX
B3L 2M9,68397,718,HALIFAX
B3L 2L7,70721,2,HALIFAX
B2W 5E6,110954,6634,DARTMOUTH
B3K 5S2,58393,1013,HALIFAX
B3R 2B6,25612,386,HALIFAX
B3K 3S1,67708,223,HALIFAX
B3L 1W1,67770,283,HALIFAX
B3M 2V2,9747,816,HALIFAX
B3M 1R9,10683,16572,HALIFAX
B2W 0A5,141187,16388,DARTMOUTH
B2W 3M1,112098,6506,DARTMOUTH
B2Y 3N8,64827,6299,DARTMOUTH
B3K 1Z4,63753,901,HALIFAX
B3M 1X9,10194,822,HALIFAX
B3M 3G9,9611,698,HALIFAX
B3M 3G8,9672,698,HALIFAX
B3L 3W5,66193,561,HALIFAX
B3K 5V7,66847,829,HALIFAX
B3K 5V7,66930,829,HALIFAX
B2X 2K4,108115,6060,DARTMOUTH
