OBJECTID,PARK_ID,OWNER,HRMINTRST,HECTARES,NAMESTATUS,NAMEAPRDTE,PARK_MAINT,GROUP_ID,ADDDATE,MODDATE,SDATE,SOURCE,SACC,GLOBALID,PARK_NAME,PARK_TYPE,DEVELOPED,CIVIC_ID,Shape__Area,Shape__Length
520,494,Halifax,Yes,0.94,N,,HRM,494,2019-02-08T21:05:13.000Z,2018-01-22T19:23:04.000Z,2007-11-06T13:52:41.000Z,Asset Management Project,,203d4aab-df29-4aea-ad82-7a3a71c29b6c,WERNER PARK,Neighbourhood,Yes,126579,18507.72266,591.0693117
521,5133,Halifax,Yes,2.52,A,,HRM,2111,2019-02-08T21:05:13.000Z,2018-01-22T19:23:02.000Z,2007-11-06T13:52:43.000Z,Asset Management Project,,19157c2b-ce8d-4af2-9bd6-7c404a1437cc,GREENPARK CLOSE PARK,Community,Yes,148019,49880.45703,2150.282348
522,5134,Halifax,Yes,3.76,N,,Shared,298,2019-02-08T21:05:13.000Z,2018-01-22T19:23:04.000Z,2007-11-06T13:52:41.000Z,Asset Management Project,,a1ff090f-1b22-41cc-96ad-eeff2d5c3747,HUMBER PARK ELEMENTARY SCHOOL PARK,Community,Yes,106605,74378.72266,1179.253721
523,117,Halifax,Yes,1.61,N,,HRM,117,2019-02-08T21:05:13.000Z,2020-01-02T16:03:50.000Z,2007-11-06T13:52:41.000Z,Asset Management Project,,a4219611-523d-42a3-93de-fa81eef0d228,BROOKDALE CRESCENT PARK,Community,Yes,146858,31892.32813,1593.955835
524,5135,Halifax,Yes,0.2,A,,HRM,5087,2019-02-08T21:05:13.000Z,2018-01-22T19:23:05.000Z,2007-11-06T13:52:43.000Z,Asset Management Project,,b23d9164-62a6-47b1-b562-dbb5a1256425,SEBASTIAN PLACE PARK,Neighbourhood,Yes,147351,3995.992188,366.3189922
525,5136,Halifax,Yes,0.21,A,,HRM,5088,2019-02-08T21:05:13.000Z,2018-01-22T19:23:04.000Z,2007-11-06T13:52:43.000Z,Asset Management Project,,4c49cf45-7158-4346-9d75-b2261bb47d62,CABOT PLACE PARK,Neighbourhood,Yes,127665,4056.851563,372.2057718
526,1475,Halifax,Yes,0.1,N,,HRM,1475,2019-02-08T21:05:13.000Z,2018-01-22T19:23:03.000Z,2009-05-05T00:00:00.000Z,Asset Management Project,,3f48955c-1e3e-4f9c-8422-d8cb696927ef,PARKDALE PARK,Neighbourhood,Yes,123947,1885.78125,178.4235442
527,1232,Halifax,Yes,0.67,N,,,1232,2019-02-08T21:05:13.000Z,2018-01-22T19:23:04.000Z,2008-02-13T00:00:00.000Z,Field Work Operations,,80a522b3-3caf-4fe6-9d54-e1d28cb40e66,MARTINS PARK,Neighbourhood,Yes,131377,13319.17188,1282.734487
528,1944,Halifax,Yes,2.01,N,,HRM,1944,2019-02-08T21:05:13.000Z,2018-01-22T19:23:02.000Z,2009-03-11T00:00:00.000Z,Field Work Operations,,06f546b9-8672-49a1-8930-c69604d49748,GLENFOREST PARK,Neighbourhood,Yes,147016,39692.92188,2649.172255
529,531,Halifax,Yes,0.41,N,,HRM,531,2019-02-08T21:05:13.000Z,2018-01-22T19:23:03.000Z,2009-05-11T00:00:00.000Z,Asset Management Project,,5003ce5e-cde4-43c7-a61b-8647a8ab12c0,DAUPHINEES POND PARK,Community,Yes,6893,8020.476563,573.2341959
