OBJECTID,ROUTE_NUM,CLASS,TITLE,SOURCE,SACC,SDATE,DATE_ACT,DATE_REV,Shape__Length
86,28,BASE,BAYERS LAKE,TRANSIT,IN,2018-08-20T00:00:00.000Z,2018-08-20T00:00:00.000Z,,20924.93952
87,4,BASE,UNIVERSITIES,TRANSIT,IN,2018-08-20T00:00:00.000Z,2018-08-20T00:00:00.000Z,,22026.53878
88,39,BASE,FLAMINGO,TRANSIT,IN,2018-08-20T00:00:00.000Z,2018-08-20T00:00:00.000Z,,29811.70239
89,21,BASE,TIMBERLEA,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2018-08-20T00:00:00.000Z,26844.86519
90,135,BASE,FLAMINGO EXPRESS,TRANSIT,IN,2018-08-20T00:00:00.000Z,2018-08-20T00:00:00.000Z,,30159.36694
91,136,BASE,FARNHAM GATE EXPRESS,TRANSIT,IN,2018-08-20T00:00:00.000Z,2018-08-20T00:00:00.000Z,,29983.33555
92,137,BASE,CLAYTON PARK EXPRESS,TRANSIT,IN,2018-08-20T00:00:00.000Z,2018-08-20T00:00:00.000Z,,27057.19904
93,138,BASE,PARKLAND EXPRESS,TRANSIT,IN,2018-08-20T00:00:00.000Z,2018-08-20T00:00:00.000Z,,33020.18389
94,433,BASE,TANTALLON RURAL ROUTE,TRANSIT,IN,2018-08-20T00:00:00.000Z,2018-08-20T00:00:00.000Z,,39422.00039
95,57,BASE,RUSSELL LAKE,TRANSIT,IN,2010-08-29T00:00:00.000Z,2010-08-29T00:00:00.000Z,2011-08-29T00:00:00.000Z,17087.38243
96,63,PEAK,WOODSIDE,TRANSIT,IN,2008-09-03T00:00:00.000Z,2008-09-03T00:00:00.000Z,2018-02-07T00:00:00.000Z,10606.15994
97,60,PEAK,EASTERN PASSAGE - HERITAGE HILLS,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2012-08-27T00:00:00.000Z,22362.85276
98,60,BASE,EASTERN PASSAGE - HERITAGE HILLS,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2012-08-27T00:00:00.000Z,22155.8534
