FULL_NAME,STR_TYPE,STR_CODE_L,Shape__Length
MAYNARD ST,ST,537,1419.530808
PRINCE WILLIAM ST,ST,662,107.4864965
PRINCESS PL,PL,663,122.9264471
ROBERTS ST,ST,700,175.8713098
ONTARIO ST,ST,616,155.0640353
MEMORY LANE,LANE,8202,998.5118679
SUMMERVILLE DR,DR,8811,248.418497
SUNRISE WALK,WALK,1060,238.3649772
PARKER ST,ST,625,232.2314247
FALL RIVER RD,RD,7526,4968.142453
SOUTH ST,ST,765,3489.042266
CADMUS CRT,CRT,16981,110.8133116
WALLACE ST,ST,6686,288.6416175
BEDFORD ST,ST,15012,266.0841053
STAIRS ST,ST,6627,322.5931555
HOWE ST,ST,6327,474.5186243
WESTBROOK AVE,AVE,6698,244.8621297
RANYA LANE,LANE,16861,78.54204792
BOLAND RD,RD,6066,672.0347779
VICTORY LANE,LANE,1020,125.047908
HAMILTON LANE,LANE,1036,270.3672191
GARRICK LANE,LANE,913,108.5334391
ELM GROVE AVE,AVE,7497,194.6586313
ELMHURST DR,DR,7498,249.0872142
ELMRIDGE DR,DR,7499,819.6704518
EMERALD DR,DR,7501,532.0856437
ENSLEY RD,RD,7505,213.1629304
SHAUGHNESSY PL,PL,16380,570.5660425
ROCHDALE PL,PL,16398,357.5342229
CHRISTIE CRT,CRT,5042,110.7327729
CLIPPER CRT,CRT,5046,181.4936024
COMPASS ROSE CRT,CRT,5047,122.0287971
LOON TERR,TERR,5110,255.805776
MARINER CL,CL,5117,134.994886
ATLANTIC ST,ST,48,754.9043371
IVANHOE ST,ST,423,325.1999532
WILLIAM HUNT AVE,AVE,868,324.8244707
BRIAR LANE,LANE,123,101.776151
WESTMOUNT ST,ST,861,398.4503983
TRUE NORTH CRES,CRES,6666,499.350848
UMLAH RD,RD,5507,896.3438323
UNA DR,DR,5508,1764.51319
JOSEPH YOUNG ST,ST,6353,646.3413902
CHADWICK ST,ST,6124,789.4544266
DOUG SMITH DR,DR,259,469.9121519
ESTATES RD,RD,6226,438.7090479
GLENVIEW DR,DR,6277,101.3403665
NEPTUNE CRES,CRES,6480,907.226749
DRESDEN ROW,ROW,266,758.3618237
ROYAL ARTILLERY CRT,CRT,16756,415.5158016
RALSTON AVE,AVE,679,453.3724166
OAKLEIGH AVE,AVE,605,168.4212637
RICHMOND ST,ST,6564,514.5300459
OLIVET ST,ST,615,391.9885791
PEARSON DR,DR,635,220.244162
CHAPMAN ST,ST,6125,474.1341037
SPRUCE ST,ST,772,166.7876797
STANFORD ST,ST,778,385.7069966
GLEN EAGLE WAY,WAY,15532,167.2184073
GOTTINGEN ST,ST,360,3545.369871
DEMETREOUS LANE,LANE,6815,353.2905213
ROSEDALE DR,DR,6578,388.244587
FREDERICK LANE,LANE,7590,479.5589156
BLACK TRUMPET LANE,LANE,7591,336.7535903
FRENCH VILLAGE STATION RD,RD,7593,1566.654143
FULMAR AVE,AVE,7595,263.3541391
GAETZ LANE,LANE,7596,310.5732441
RAVINES DR,DR,16202,1102.248256
GLORIA MCCLUSKEY AVE,AVE,15021,1053.028225
AKERLEY BLVD,BLVD,6006,15355.8517
KINGS ROAD PL,PL,10566,461.9395213
NINE MILE DR,DR,10716,949.9467856
WINDSTONE CL,CL,16003,203.6220491
MCQUILLAN LANE,LANE,16062,131.6415019
SKYSAIL CRT,CRT,10886,125.8910813
DELLRIDGE LANE,LANE,16931,463.8743494
FAIRWINDS PL,PL,17083,153.841269
TERNAN GATE,GATE,16986,395.7363258
WILLIAM BORRETT TERR,TERR,16925,558.8489332
JAMES WINFIELD LANE,LANE,5095,409.5279326
GOLD LANE,LANE,7633,198.4833088
MAPLE GROVE DR,DR,8134,254.8702506
JUDY ANNE CRT,CRT,7881,393.6947932
MCVEIGH CRT,CRT,8182,317.4758473
LEGACY CRT,CRT,15807,213.4399314
BEDFORD BY-PASS NB OFF RAMP,RAMP,15253,987.5908663
BEDFORD BYPS,BYPS,4419,101.7648579
BEDFORD BYPS,BYPS,4419,3644.442461
GOLF VIEW DR,DR,6280,504.5539864
LAKEHILL DR,DR,7960,1503.83834
GLENELG CRT,CRT,7623,230.1186203
MONTAGUE RD,RD,4308,4881.8063
ST MATTHIAS ST,ST,731,138.9676995
SARAH ST,ST,738,135.7954642
MIDDLE LANE,LANE,1058,101.5446253
HERON WALK,WALK,1059,133.8252682
MOWAT CRES,CRES,8259,624.4982814
POPE CRES,CRES,8474,584.9862821
NELSON DR,DR,8287,774.4584561
ERNEST AVE,AVE,7506,340.253012
ERNIES LANE,LANE,7507,283.5936767
ESSEX DR,DR,7509,869.2488166
ESSO RD,RD,7510,182.3288575
NAVIGATION WAY,WAY,5181,902.9828331
WYATT RD,RD,5191,352.3370542
AHMADI CRES,CRES,10062,818.9912502
EVANS DR,DR,7515,226.9854683
EVERGREEN CRES,CRES,7517,359.5031594
EVERGREEN CRT,CRT,7518,344.3679478
FALCON RIDGE DR,DR,7524,324.8988064
KIRKWOOD CRT,CRT,16405,361.7880273
STRATHAVEN CL,CL,16177,343.2811004
HAMMONDS PLAINS RD,RD,5089,6903.268316
STOCKTON RG,RG,16808,387.3670456
WINDRIDGE LANE,LANE,16854,664.4383739
WORTHINGTON PL,PL,16645,320.9711799
SEDGEWICK PL,PL,16900,370.3356236
BROOKDALE CRT,CRT,6088,245.7222659
SUNSET LANE,LANE,10925,146.814564
SUSSEX DR,DR,10927,2403.823191
TAMARACK DR,DR,10932,493.5214671
TAPAWINGO LANE,LANE,10934,866.9762788
TAYLOR LAKE DR,DR,10937,562.5952743
TERRADORE LANE,LANE,10940,1542.51229
TERENCE BAY RD,RD,10941,6260.634601
TIFFANY CRT,CRT,10945,406.4641439
TON TIMBER HILLS RD,RD,10946,364.8655788
GARDEN COURT TERR,TERR,6260,149.3634375
EDENBANK TERR,TERR,6203,155.6276493
BLANCHARD CRES,CRES,5024,192.8909858
TEAL CRT,CRT,8856,291.6458095
FAUCHEAU LANE,LANE,7527,382.3779686
FAWSONS COVE RD,RD,7530,570.3409562
FERN DR,DR,7534,526.931427
FERN HILL RD,RD,7535,1159.656783
EAGLEVIEW TERR,TERR,7537,300.8393112
FIELD CRT,CRT,7539,96.7576857
PURDYS LANE,LANE,1068,214.3490296
SUCKER BROOK RD,RD,8808,233.8390119
RYANS RIDGE CRT,CRT,8601,337.6180673
UNIACKE ST,ST,829,238.1281085
WOOD AVE,AVE,885,131.5660781
WOODILL ST,ST,889,173.3231855
FIR TREE LANE,LANE,7541,374.1930254
FIREFLY TERR,TERR,7542,670.6186313
FORESTGLEN DR,DR,7567,808.7727225
FOSTER AVE,AVE,7569,2376.404667
FOX RG,RG,7571,398.5607255
FOX HOLLOW DR,DR,7572,1502.203012
FOXBERRY LANE,LANE,7573,269.6508802
FOX POINT FRONT RD,RD,7576,120.8721267
FOXGLOVE ST,ST,7578,519.1152445
FOXWOOD CRES,CRES,7579,882.2176222
FRANKLYN DR,DR,7584,423.249499
FRASER RD,RD,7587,1064.211507
FLANDRUM CRT,CRT,7554,144.8400255
FLETCHER DR,DR,7557,1344.974186
FLORENCE LANE,LANE,7558,523.0498071
FLORENCE ST,ST,7560,492.4289974
FLYING POINT RD,RD,7563,458.6192909
FLYNN AVE,AVE,7564,111.24612
FOREST GLADE DR,DR,7565,1213.133251
MALIK CRT,CRT,8117,175.1886861
SANDRICK AVE,AVE,8616,726.3592608
BIRCHGROVE DR,DR,7097,343.0182997
SETTLERS LANE,LANE,16517,420.6192571
CAXTON CL,CL,1056,155.4055327
LINTLOPS RD,RD,8034,1203.697032
LIPKUDAMOONK PATH,PATH,8035,820.1286231
LISA CRT,CRT,8036,290.0205416
LISA ANN DR,DR,8037,2220.110885
SEASCAPE LANE,LANE,8038,147.4523697
RADCLIFFE DR,DR,1044,1444.967347
SACKVILLE DR,DR,8603,6161.056329
WILLIAMS ST,ST,870,264.5702156
MOIRS MILL RD,RD,5124,2027.91447
LYNCH ESTATE CRT,CRT,6414,152.2109603
GORDON AVE,AVE,6281,622.4886332
NORMAN BLVD,BLVD,8304,3956.309762
NORMANS LANE,LANE,8305,123.6567632
NORTH GREEN RD,RD,8308,832.5282344
SUNSET COVE RD,RD,8309,167.2543286
NORTHWOOD RD,RD,8311,359.0272549
NORWOOD CRT,CRT,8313,629.2362374
ROLAND NORWOOD DR,DR,8314,561.2454189
TWIN LANE,LANE,10952,135.9874726
VIRGINIA DR,DR,10957,1369.51101
WATERFORD CRES,CRES,10961,814.8599173
VILLAGE CRES,CRES,5185,721.6316703
TWELVE MILE HOUSE LANE,LANE,10951,102.4717642
MAYFIELD DR,DR,6437,133.1326999
MOORE RD,RD,6460,347.6079137
WEST SHIP HARBOUR RD,RD,10976,7385.309165
GELDERT ST,ST,343,205.9354408
LILAC ST,ST,483,129.1001781
MORRIS DR,DR,6461,496.9780968
MOSHER DR,DR,6462,669.6246543
BASINVIEW DR,DR,6041,266.0129033
SPECTACLE LAKE DR,DR,6619,530.9082403
LORD DALHOUSIE DR,DR,15568,176.273177
FOREST LANE,LANE,5074,388.6649978
FRED KEYES CRT,CRT,5077,198.339281
DAMASCUS RD,RD,16522,2537.184103
VERDI DR,DR,16537,854.2214444
MANN ST,ST,5115,721.5939448
LONG RD,RD,8056,612.3776702
TERENCE BAY RD,RD,8858,4477.455536
TERRY CRT,CRT,8860,731.5554136
TERRY RD,RD,8861,811.974688
STILLWATER LANE,LANE,8865,446.8422095
THIRD ST,ST,8869,144.8698233
LESTER DR,DR,8020,445.9351855
LEVY RD,RD,8021,423.5600498
LEWISTON RD,RD,8023,606.3695035
LEXINGTON AVE,AVE,8024,1169.580201
LILLIAN DR,DR,8025,1273.919882
LINDSAY LAKE RD,RD,8031,1533.17048
BOWSPRIT CL,CL,5027,182.2050272
AMIN ST,ST,5006,609.0479491
FIRST ST,ST,7546,206.9699011
FIVE ISLAND RD,RD,7552,2471.065053
HORIZON CRT,CRT,6326,1006.955815
JOFFRE ST,ST,6347,2154.463418
WILKINSON AVE,AVE,16697,3109.378157
JENNETT AVE,AVE,16696,1289.992968
OLD COACH RD,RD,8351,1068.035877
OLD HALIFAX RD,RD,8357,5588.442575
WYSE RD,RD,11002,4922.585338
YOUTH CAMP RD,RD,11005,557.7644696
KINGS RD,RD,7932,246.4854548
LAKE DR,DR,5102,643.3831826
MAIN ST,ST,5114,519.6804992
MILL CRT,CRT,5120,240.1135332
ROYAL MASTS WAY,WAY,5157,571.5440638
LONG LAKE DR,DR,8058,2005.866248
NOTTINGHAM DR,DR,8315,758.4801497
NOTTINGHAM LANE,LANE,8316,383.1412556
OCONNELL DR,DR,8320,1596.552117
OAK LANE,LANE,8323,354.4655405
OAK RIDGE LANE,LANE,8327,305.2720691
OAKES RD,RD,8330,932.3083568
OAKFIELD PARK RD,RD,8331,4258.70343
OAKVALE CRT,CRT,8337,219.0259511
WEST SHIP HARBOUR RD,RD,10975,2091.562326
TRINITY LANE,LANE,8895,1843.413601
MANUEL RD,RD,9203,508.6509401
GUS FLEMMING DR,DR,9204,184.9086115
JACQUELINE PURCELL DR,DR,9205,327.4456773
NORTHERN HEAD RD,RD,9206,240.6449508
MIDDLE VILLAGE RD,RD,9209,1559.413841
COVE CRES,CRES,9210,229.2613129
GROVE RD,RD,9904,893.1763291
KARLA LANE,LANE,9909,277.6627659
LONGARDS RD,RD,8059,1969.843327
LONGBURN DR,DR,8060,514.0294124
LONGVIEW CRES,CRES,8062,246.5512793
LOON LANE,LANE,8063,141.4750941
LOON LOOP,LOOP,8064,2181.379966
LORIANN DR,DR,8066,1464.196026
LORNE DR,DR,8068,229.2039463
LOWER GOVERNOR ST,ST,8071,876.8917352
LOWER PARTRIDGE RIVER RD,RD,8073,1850.45708
LOWER PROSPECT RD,RD,8074,1606.415425
LOWER PROSPECT BRANCH LANE,LANE,8075,413.5827053
WITTENBURG RD,RD,8077,5643.956825
OCEANIC DR,DR,8339,1746.247464
OCEANBREEZE AVE,AVE,8341,540.9845979
OFFICER CRES,CRES,8344,610.2791271
JULIEN LANE,LANE,8348,505.0202566
OLD CABIN RD,RD,8350,1599.390872
MAGNOLIA CRT,CRT,8113,115.1268501
MAHAR DR,DR,8114,677.5652665
MAJESTIC AVE,AVE,8115,993.9433292
OLDHAM RD,RD,8379,5125.65327
OLIVER ST,ST,8381,276.0158466
FIELDING AVE,AVE,6240,1199.349398
OTTER LANE,LANE,8390,448.3012278
OVERBROOK DR,DR,8391,479.7708723
PACIFIC AVE,AVE,8393,252.3903327
MAGNIFICENT AVE,AVE,15045,1894.976216
SECOND ST,ST,8664,157.8871573
SETTER LANE,LANE,8675,186.9955044
IRVINE PL,PL,10079,184.2478276
ARCHIBALD BROOK RD,RD,10080,3616.205627
MARANATHA DR,DR,8138,1009.548596
GLEN MOIR TERR,TERR,5082,506.9046012
CASTINE WAY,WAY,15567,585.8575578
BROWNLOW AVE,AVE,6092,1332.926185
MACLEAN AVE,AVE,15007,219.3170699
PEBBLEBEACH LANE,LANE,10030,179.7359696
HUTCHINSON RD,RD,10031,207.815122
DEANERY RD,RD,10033,550.6309805
SALMON HOLE LOOP,LOOP,10039,954.8088415
OCEAN DR,DR,10040,511.7687941
WILLYS LANE,LANE,10041,254.2063412
NANAMAN LANE,LANE,10046,410.5008162
URQUHARTS LANE,LANE,10048,607.4506509
STILLWATER RUN,RUN,10049,874.1339061
BREAKER LANE,LANE,10050,541.2285039
GRAY JAY WAY,WAY,10053,134.4584507
JOSEY RD,RD,9910,857.0460633
BLUE JAY LANE,LANE,9912,538.4925963
MERCURY AVE,AVE,9916,1121.942804
WEST SHIP HARBOUR RD,RD,10977,4728.693378
WESTHAVER RD,RD,10981,502.952131
WESTVIEW DR,DR,10983,214.9350022
PAPER BIRCH PL,PL,10986,249.7191345
WHITES LANE,LANE,10990,264.9240003
CLARENCE ST,ST,10991,301.9229074
WINGING POINT RD,RD,10994,489.7543247
WELKIN DR,DR,10997,434.8328173
TOWER RD,RD,8887,1067.734738
TRAFALGAR TURN,TURN,8889,147.8407405
TREVOR AVE,AVE,8890,689.8724638
TREVOR DR,DR,8891,310.505223
TRIBUNE CRT,CRT,8892,98.40690651
LITTLE HARBOUR RD,RD,8039,4203.023218
SCANLAN POINT RD,RD,8040,513.1506146
PETERS LAKE RD,RD,8440,1184.681909
PETPESWICK DR,DR,8442,760.4343513
PHILIP DR,DR,8444,2024.218406
SIBLEY ST,ST,8711,153.0796425
MARYDALE DR,DR,8156,435.2388194
MARY JOLLIMORE RD,RD,8157,351.9782146
MARYS LANE,LANE,8158,381.6925671
JIMS LANE,LANE,8160,215.7225399
MASONS POINT RD,RD,8161,658.5844426
PARKVIEW DR,DR,8409,799.4544948
PARKWOOD DR,DR,8412,584.7325294
WATERLOO WAY,WAY,10962,181.8393793
SPRUCEBROOK LANE,LANE,9917,365.8064621
SWORDFISH DR,DR,9918,1209.40837
FOX PEN RD,RD,9919,311.5772797
HORSESHOE TURN,TURN,9922,859.7908349
DUNDEE ST,ST,9923,237.173271
OXFORD CRT,CRT,9924,148.2651119
LITTLE POINT LANE,LANE,9928,305.9235966
DEEPWOOD LNDG,LNDG,9929,460.8073883
WOODLAND AVE,AVE,6713,5118.692189
WRIGHT AVE,AVE,6719,10406.36916
MELLOR AVE,AVE,16554,387.4468604
WATSON LANE,LANE,10963,238.888895
WEAVER CRT,CRT,10964,477.7944726
WEBSTER RD,RD,10966,748.911296
WEST HEAD LANE,LANE,10968,112.6686472
WEST LOON VILLAGE RD,RD,10970,2918.554025
WEST PENNANT RD,RD,10972,4865.422724
THOMPSON DR,DR,8873,323.972076
THORN AVE,AVE,8874,500.5935147
THREE BRIDGES RD,RD,8876,538.1077532
TIDEWATER LANE,LANE,8879,614.9412413
TIGER MAPLE DR,DR,8880,198.6013619
TIMBERLANE TERR,TERR,8884,826.073168
TODDS ISLAND RD,RD,8886,980.6647806
LITTLE MOPS RD,RD,8041,493.1851047
LITTLE RIVER DR,DR,8042,673.9693857
LITTLES RD,RD,8043,501.9180793
OLD LOCHVIEW CRT,CRT,8049,284.2646376
LOCKVIEW RD,RD,8050,4029.880785
LODGE AVE,AVE,8052,449.4620029
LOGAN RD,RD,8053,4206.291423
ROCKY BROOK LANE,LANE,10019,458.9294879
FORTUNE LANE,LANE,10021,152.8734346
SELLARS HEAD RD,RD,10023,651.7613112
BIRCH LANE,LANE,10029,332.0394403
MACDONALD COVE RD,RD,8097,2770.911614
MACKENZIE RD,RD,8103,367.6904749
MACKEREL COVE RD,RD,8104,789.1715667
MACNAB AVE,AVE,8107,439.7747064
MACPHEE CRES,CRES,8108,1000.05604
MADOS DR,DR,8112,234.6069645
COALIES HEAD LANE,LANE,16306,535.7776582
COZY CORNER LANE,LANE,16307,196.9569917
DAYLILY LANE,LANE,16308,174.3057138
DOHERTY LANE,LANE,16309,345.840215
FLOWER GARDEN LANE,LANE,16310,268.6557899
HOSKING LANE,LANE,16311,174.7525177
JADE LANE,LANE,16313,231.0786214
LINDIE LANE,LANE,16314,308.8006404
LOOKOUT LANE,LANE,16315,903.8072441
PARKLEA DR,DR,8408,1954.432762
SHADAR DR,DR,8676,1947.228926
SHADY LANE,LANE,8677,806.3399481
ISNOR DR,DR,6336,1298.182953
KINGSBURY WAY,WAY,16251,215.9290355
AUGUSTA LANE,LANE,10017,141.6281179
ANAHID DR,DR,10069,530.3893369
ANDREWS POINT RD,RD,10072,213.1683984
ANGELA RD,RD,10073,548.0274046
ANN CRT,CRT,10075,155.8030474
ANTRIM RD,RD,10077,8710.121176
SUMMIT CRES,CRES,15609,1611.567084
HARBOUR RIDGE DR,DR,15610,558.6816228
HEFLER LANE,LANE,15611,676.8282636
MACKENZIE LANE,LANE,16008,389.117059
DUKE ST,ST,5061,2375.85565
COLFORD AVE,AVE,15019,692.3837918
SIBLEY RD,RD,8710,4860.88107
JOY RD,RD,7876,557.2953123
JUNIPER PL,PL,7883,323.3265356
JUNIPER TERR,TERR,7885,394.7373385
JUNIPER WAY,WAY,7886,1762.964414
JUNIPER RG,RG,7887,544.2755485
KAAKWOGOOK WAY,WAY,7889,3194.784837
KARELS DR,DR,7891,965.269095
KAREN AVE,AVE,7892,1054.845347
KAREN CRES,CRES,7893,886.6135519
PARLEE RD,RD,8413,478.5912751
LUPIN LANE,LANE,8085,292.810724
LUPIN LANE,LANE,8087,441.3950397
LYLA DR,DR,8089,361.425808
OLD LAKE ECHO RD,RD,8358,553.6843106
OLD MANNETTE RD,RD,8361,402.3364813
OLD MILL RD,RD,8362,960.058879
OLD MINEVILLE RD,RD,8364,788.3809697
OLD POST RD,RD,8368,344.8770384
OLD POST RD,RD,8370,332.7436741
OLD SAMBRO RD,RD,8372,1399.012366
BURNSIDE DR,DR,15049,7899.243102
JOHN SAVAGE AVE,AVE,6351,2771.540051
COMMODORE DR,DR,15008,5088.460682
OLD SCHOOL RD,RD,8373,998.2596546
SCHOOLHOUSE RD,RD,8374,359.3748524
OLD TRUNK RD,RD,8375,620.9392792
OLD TRUNK RD,RD,8376,929.8276055
OLD TRURO RD,RD,8377,1437.868866
FORTRESS DR,DR,15031,1035.885961
LAMBERT LANE,LANE,15034,135.6340369
RUSTIC RG,RG,15039,728.3666555
BOUNDARY RD,RD,15044,1074.446234
HAVILAND ST,ST,7720,374.881165
BROWN AVE,AVE,7178,370.8533584
BROOKSHIRE CRT,CRT,5032,429.214082
HAYSTEAD RG,RG,16459,183.8441479
FINDLAY RD,RD,9933,1128.863351
DEER RUN,RUN,9934,197.5239764
OAK HILL DR,DR,9938,481.4154524
CAMP RD,RD,10005,413.3602606
MISTYWATER LANE,LANE,10012,406.7468285
BIRCHVIEW DR,DR,10013,741.6637076
MURRAY RD,RD,10016,583.8506322
MARILYN DR,DR,8146,333.608811
MARJORIE DR,DR,8148,1282.037651
MARK CRES,CRES,8150,688.0364086
MARTYN DR,DR,8151,650.5174325
MARTLET PL,PL,8154,636.4853498
MARVIN LANE,LANE,8155,168.6355891
SHIERS RD,RD,8698,1414.311362
SHIRLEY CRT,CRT,8700,303.2084101
SHORE RD,RD,8702,636.7771718
NICKERSON RD,RD,8703,415.6105534
SHORT CUT RD,RD,8708,438.8844225
JOSEPH ZATZMAN DR,DR,6354,2171.169026
VANIER WAY,WAY,16250,591.8439548
THORNDALE TERR,TERR,16487,280.8359699
MAXWELL AVE,AVE,8165,303.7821757
MAYFLOWER AVE,AVE,8167,711.1419504
MAYNARD MISNER RD,RD,8169,201.2784257
MAYWOOD DR,DR,8170,366.7470931
MCINTYRE DR,DR,8171,482.4940761
MCDONALD RD,RD,8173,372.1037814
SAMPLING RD,RD,16440,526.7451631
FRASER DR,DR,7585,251.4187378
GALLOWAY DR,DR,7601,2541.516184
MILFORD RD,RD,10669,3632.31372
VINEGAR HILL RD,RD,5522,3455.812244
REBECCA DR,DR,16040,1024.230879
MAINSAIL LANE,LANE,66755,119.9984235
EVANDALE LANE,LANE,66692,469.6040861
POWERS ISLAND WA,WA,66776,1975.1815
COVENTRY LANE,LANE,7348,742.6948124
BECKS WAY,WAY,7066,323.2720046
KETCH HARBOUR RD,RD,7922,2949.457581
LANCASTER DR,DR,7990,1049.127289
CHURCH POINT RD,RD,7283,3339.126752
SPRY BAY VILLAGE RD,RD,10900,1416.893801
OLD TAYLORS HEAD RD,RD,4322,980.6684031
GREELY CRT,CRT,7653,143.2717853
DALKEITH DR,DR,7378,700.0651187
GREGORY DR,DR,7669,319.0151861
WALKER ST,ST,6684,790.0479003
HAVELOCK CRES,CRES,7719,980.6404496
GIBERSON DR,DR,7613,633.0705343
BRAESIDE CRT,CRT,6079,402.3563429
WELL RD,RD,16441,1091.806249
YARI LANE,LANE,16442,223.0122772
LONGWOOD LANE,LANE,16443,1251.299667
LONGARD DR,DR,10603,638.5775244
LORNE PAUL DR,DR,10606,172.1780142
SETTLE ST,ST,6601,447.2909614
TOBIN DR,DR,6659,385.9246534
WALTDALE DR,DR,6689,134.335802
WALTERS ST,ST,6690,337.7008594
WANDA LANE,LANE,6693,735.1109217
SAGUENAY PL,PL,6714,177.3249454
ASHLEY DR,DR,10088,117.4849014
BRUCE ST,ST,6093,319.2294495
CHRYSLER AVE,AVE,6135,254.8722386
EDNA LANE,LANE,66741,95.16189968
MEMORIAL LANE,LANE,16022,102.2833216
SHIRLEY LANE,LANE,16027,173.2936575
PHEASANT LANE,LANE,16024,198.1752555
COBEQUID RD,RD,10219,2223.555944
DUNPHY LANE,LANE,15598,698.3878937
TRAVERSE WAY,WAY,16193,75.823729
MERION CRT,CRT,66775,75.40063393
MOONSHADOW LANE,LANE,17120,490.4931891
AINSLIE CRES,CRES,6922,363.1090099
CANNON CRES,CRES,7208,423.8452167
HIMMELMAN DR,DR,7779,434.4752198
CAROLYNS WAY,WAY,7222,174.2441124
HUGH ALLEN DR,DR,7804,594.2486422
ROMKEY DR,DR,8571,726.1007658
ALDERBERRY LANE,LANE,16721,270.007364
COUGAR LANE,LANE,16725,147.5618377
MAPLE HILL DR,DR,10630,1082.734217
CASSANDRA DR,DR,7229,467.3465176
SECOND ST,ST,6599,303.5668742
WEXFORD RD,RD,5561,721.1941842
BASIL AVE,AVE,6040,104.7899729
MEMORIAL DR,DR,8200,658.706895
HIGHWAY 103 EB EXIT 5A OFF RAMP,RAMP,66757,581.2528848
ARMAMENT RD,RD,16765,375.6369354
ORDNANCE RD,RD,16764,396.4534691
HIGHWAY 102 NB EXIT 7 OFF RAMP,RAMP,15113,602.2981047
HIGHWAY 2,,10401,4847.326356
HILLSBORO DR,DR,7770,1375.734804
PLYMOUTH RD,RD,6534,482.7548809
BIRCHDALE AVE,AVE,6061,280.1550557
SPRINGFIELD LAKE RD,RD,8762,2945.509167
THOMAS DR,DR,15563,417.9595539
REGAN DR,DR,1061,92.40299633
GRASSY LAKE DR,DR,16856,592.6557908
COMMERCIAL DR,DR,16194,261.5528601
WEAVERS LAKE DR,DR,16192,349.4652428
ST MARGARETS BAY RD,RD,10430,2987.461389
BACCARDAX LANE,LANE,16130,274.8783636
HIGHWAY 3, ,16074,48.27110956
NEUER LANE,LANE,66772,373.2113384
DEWBERRY DR,DR,66719,525.2858205
NAVICULA LANE,LANE,15678,164.5014221
PASSAGE RD,RD,10870,8490.267474
BRAMWELL CRT,CRT,66746,325.5899712
PEGGYS COVE RD,RD,10448,6141.75303
ASHBY LANE,LANE,16060,249.8081524
TARIN LANE,LANE,16061,130.1796768
IVY LANE,LANE,15848,205.3761915
SACKVILLE DR,DR,16991,8454.757939
BUTTERCUP GRV,GRV,66711,229.4684554
APPLEWOOD LANE,LANE,6021,255.5626042
GARDEN CRT,CRT,6258,90.55362819
ROCKLIN CRT,CRT,6570,101.5819786
CEDAR LANE,LANE,7243,345.8877028
FREDERICKS LANE,LANE,7592,449.2977818
HARTLEN ST,ST,6302,249.4486373
EAST RIVER RD,RD,10290,426.5619134
OAK LANE,LANE,8322,138.9731324
DELTA DR,DR,7402,1050.196171
PROSPECT RD,RD,10449,4555.879163
RAGGED LAKE BLVD,BLVD,1017,1440.781473
BLACK ST,ST,99,240.0336775
LAKE CHARLES DR,DR,6370,585.559247
UPRANGE CRT,CRT,17076,99.33831853
RIVER RD,RD,8542,3914.859921
INGRAM RIVER LANE,LANE,7817,194.702244
BERNADETTE LANE,LANE,66754,840.0777378
BELL BLVD,BLVD,10119,5292.982589
KELLY CRT,CRT,7906,168.2004033
SILVER DART DR,DR,10880,807.3196562
BRIAN DR,DR,7154,168.3094274
RIVERS END RD,RD,8547,160.9525922
ABIGAIL LANE,LANE,66765,311.4025587
FIONA LANE,LANE,66767,642.249313
ROCKLIN DR,DR,6571,265.2652104
SUNSET DR,DR,6641,163.3730603
TWILIGHT LANE,LANE,6671,460.1831382
CAYTYON CRT,CRT,15647,124.14918
HAZELNUT CRT,CRT,15648,166.0409133
MEADOW WALK,WALK,10660,52.76539246
OLD SACKVILLE RD,RD,16995,2826.604217
BRYANSTON RD,RD,16982,1376.962969
OSPREY DR,DR,10758,379.0298492
LEVYS RD,RD,10594,760.4814472
SUN KEY DR,DR,15621,357.7706611
SAND KEY DR,DR,15622,317.8586952
SEA SPRAY DR,DR,15664,435.9082374
GRANITE COVE DR,DR,7647,4270.256838
SPARROW LANE,LANE,16184,183.2810091
WHITE PINE RG,RG,5567,495.2640933
SAVOY AVE,AVE,66694,2093.423813
LUPINE LANE,LANE,10614,327.1860432
GREYBIRCH LANE,LANE,66802,457.3787354
TILBURY AVE,AVE,66800,629.1422078
INNSBROOK WAY,WAY,66798,549.5329586
THIS ST,ST,8870,234.5133037
INDIAN POINT RD,RD,10515,240.2358893
LAKE RD,RD,7953,497.7974907
TOPAZ LANE,LANE,17077,128.2980892
SOAPSTONE LANE,LANE,17078,77.71731095
REGKAY CRT,CRT,17004,254.7645966
HIGHWAY 102 SB EXIT 1B ON RAMP,RAMP,1126,891.0704152
TERRA NOVA AVE,AVE,8859,319.8165293
CODROY CRES,CRES,9930,198.2718538
SERPENTINE AVE,AVE,8674,325.3260669
STRATMORE AVE,AVE,8807,442.4840074
SMALLWOOD AVE,AVE,8731,401.7625175
HAMILTON DR,DR,7687,993.8001468
EXECUTIVE DR,DR,17073,703.578255
BARNSLEY CRT,CRT,16957,132.4615585
WAKEFIELD CRT,CRT,16961,382.6035849
THYME LANE,LANE,16594,463.9155108
ROCKFIELD DR,DR,16595,484.970258
FALCOURT RUN,RUN,16597,963.6278296
TUGGER LANE,LANE,16674,553.6215389
EVERWOOD AVE,AVE,16675,812.9822641
KINROSS CRT,CRT,16678,319.4543519
STANBURY ST,ST,16577,358.1480586
GREEN VILLAGE LANE,LANE,15627,958.2679259
CHELTONHAM CRT,CRT,15653,104.6004009
STARR LANE,LANE,15657,115.2294048
ROCKWOOD AVE,AVE,6572,125.6194822
