FULL_NAME,STR_TYPE,STR_CODE_L,Shape__Length
ROCKCLIFFE DR,DR,8563,2869.991793
ROCKWOOD HILLS DR,DR,8564,458.713408
DESERT LANE,LANE,66777,326.4671095
GEORGE REDMOND DR,DR,8516,138.736172
REDMOND RD,RD,8517,223.5749248
REG MOIR DR,DR,8520,270.052018
REGENCY CRT,CRT,8521,239.1981359
REGWOOD DR,DR,8522,812.0730436
CANAVAN DR,DR,7203,679.8372829
CANDLEWOOD DR,DR,7205,1147.523409
CANDY MOUNTAIN RD,RD,7207,3178.125746
CAPRI DR,DR,7210,3311.31127
CARIBOU RD,RD,7211,970.3144683
ELAINE DR,DR,7482,656.4871517
JOSEPHINE CRT,CRT,6355,775.6515946
MATTHEW FRANCIS CRT,CRT,6436,175.0761575
TULLOCH WAY,WAY,15709,122.0973252
HALO LANE,LANE,15041,113.20782
RICHARDSON DR,DR,8529,1233.664116
CARIBOU RD,RD,7213,7923.062258
CARLETON DR,DR,7215,739.4267609
CARLHEATH DR,DR,7216,1198.12022
CARMANS DR,DR,7218,651.0148516
CARRIAGE RD,RD,7224,851.8030055
CARRIE CRES,CRES,7226,500.9338011
ROBERT ST,ST,8554,3571.474522
BANSHEE AVE,AVE,7024,568.8232678
BAR HARBOUR LANE,LANE,7025,812.1488376
BARRACUDA DR,DR,7032,483.4390289
COACH AVE,AVE,7300,414.7345694
KENNEDYS RD,RD,7915,2207.357768
KENORA DR,DR,7916,545.3743054
LAWSON AVE,AVE,6389,703.3201375
ATHABASKAN LANE,LANE,6025,114.6230199
ATHORPE DR,DR,6026,1012.656441
DUNROBIN DR,DR,6198,355.1690593
DUBONNET DR,DR,6192,97.94383159
BENVIE HILL RD,RD,10130,5998.252396
SUNNYLEA RD,RD,8814,1742.613184
SUNNYVIEW TERR,TERR,8817,406.4202552
HUBLEY MILL LAKE RD,RD,7801,1713.562632
CLIFFVIEW LANE,LANE,16157,375.8656604
EAST PETPESWICK RD,RD,10288,1221.491833
ENGLISH POINT RD,RD,10298,1392.157036
WESTSIDE INLET DR,DR,15749,1474.10489
BEAR HILL RD,RD,7057,709.623798
SHAHDAROBA WAY,WAY,17053,434.7927021
BONSAI DR,DR,17055,815.0093045
ALLIE LANE,LANE,17057,368.1046985
SNOWS RD,RD,6274,1288.253999
BREAKAWAY BLVD,BLVD,17117,174.340529
HIGHWAY 102 ETA 29,,17150,46.00317156
HIGHWAY 103 ETA 280,,17156,38.08108883
HIGHWAY 102 ETA 41,,17154,38.60100463
HIGHWAY 102 ETA 18,,17147,45.05081587
HIGHWAY 102 ETA 36,,17153,40.40483216
HIGHWAY 102 ETA 33,,17152,46.005202
PEARSON DR,DR,10773,2021.308058
BURNHOPE DR,DR,7185,715.3231958
HOMEFIRE CRES,CRES,16729,329.8609048
BARRACKS DR,DR,16730,510.2732662
WATCH DOG RD,RD,16732,341.563592
HEMP ROPE LANE,LANE,16731,188.9809419
STAGE COACH LANE,LANE,15222,330.1469847
HIGHWAY 103 WB EXIT 4 OFF RAMP,RAMP,15104,845.7660697
BAYSWATER RD,RD,6042,751.4004471
CHIPPAWA ST,ST,7272,518.4224339
CHRIS EVAN DR,DR,7273,642.0858923
CHRISTOPHER LANE,LANE,7275,336.5824204
