Account ID,Account Name,nsbi_sector,Deal Type,NSBI Financial Contribution (Commitment/Announced),Place Name,nsbi_county,PostalCode,fiscal year,Longitude,Latitude,New Georeferenced Column
171,Sassy Solutions Consulting Limited,Business Services,Export Growth Program,1665,Halifax,Halifax Regional Municipality,B3M3C8,2018 - 2019,-63.652605,44.657547,POINT (-63.652605 44.657547)
172,Arrivals + Departures Communications Limited,Business Services,Export Growth Program,3445,Halifax,Halifax Regional Municipality,B3J1S9,2018 - 2019,-63.576866,44.652261,POINT (-63.576866 44.652261)
173,Chocolate Hackers,Agri-food,Export Growth Program,2430,Halifax,Halifax Regional Municipality,B3K2H7,2018 - 2019,-63.604915,44.665088,POINT (-63.604915 44.665088)
174,DynaGen Technologies Incorporated,Advanced Manufacturing,Export Growth Program,9050,Dartmouth,Halifax Regional Municipality,B3B1W8,2018 - 2019,-63.579683,44.70058,POINT (-63.579683 44.70058)
175,Eosense Inc,Energy,Export Growth Program,6780,Dartmouth,Halifax Regional Municipality,B3B1E8,2018 - 2019,-63.613528,44.694128,POINT (-63.613528 44.694128)
176,InterTalk Critical Information Systems Inc,ICT (includes Digital Media),Export Growth Program,5284,Dartmouth,Halifax Regional Municipality,B3B1J4,2018 - 2019,-63.611144,44.704132,POINT (-63.611144 44.704132)
177,Halifax Glassworks Limited,Advanced Manufacturing,Export Growth Program,1800,Halifax,Halifax Regional Municipality,B3J1M4,2018 - 2019,-63.572203,44.648963,POINT (-63.572203 44.648963)
178,Modest Tree Media Inc,ICT (includes Digital Media),Export Growth Program,7250,Halifax,Halifax Regional Municipality,B3K2R6,2018 - 2019,-63.613967,44.665253,POINT (-63.613967 44.665253)
179,SEG Consulting Inc.,Business Services,Export Growth Program,2312,Halifax,Halifax Regional Municipality,B3J3J8,2018 - 2019,-63.57894264,44.65095794,POINT (-63.57894264 44.65095794)
180,Shut Up & Colour Pictures Inc,Film Production,Export Growth Program,13796,Halifax,Halifax Regional Municipality,B3K1P6,2018 - 2019,-63.592883,44.658346,POINT (-63.592883 44.658346)
181,SolutionInc Ltd,ICT (includes Digital Media),Export Growth Program,4750,Halifax,Halifax Regional Municipality,B3K1T2,2018 - 2019,-63.595928,44.658385,POINT (-63.595928 44.658385)
182,Swept Technologies Inc.,ICT (includes Digital Media),Export Growth Program,5800,Halifax,Halifax Regional Municipality,B3J0A7,2018 - 2019,-63.5746568,44.6450065,POINT (-63.5746568 44.6450065)
183,EfficiencyOne Services Inc,Business Services,Export Growth Program,12701,Dartmouth,Halifax Regional Municipality,B3B1G5,2018 - 2019,-63.605171,44.69816,POINT (-63.605171 44.69816)
184,QRA Corp,ICT (includes Digital Media),Export Growth Program,9487,Halifax,Halifax Regional Municipality,B3K5L2,2018 - 2019,-63.602819,44.659309,POINT (-63.602819 44.659309)
185,Core Elements Advisors Inc.,Business Services,Export Growth Program,1575,Halifax,Halifax Regional Municipality,B3H3K1,2018 - 2019,-63.588845,44.639667,POINT (-63.588845 44.639667)
186,Andrew MacCormack,Film Production,Export Growth Program,513,Dartmouth,Halifax Regional Municipality,B3A3R7,2018 - 2019,-63.563906,44.679054,POINT (-63.563906 44.679054)
187,NS Sports Media Pros Ltd,ICT (includes Digital Media),Export Growth Program,17875,Halifax,Halifax Regional Municipality,B3S0B9,2018 - 2019,-63.6851302,44.658753,POINT (-63.6851302 44.658753)
188,Over The Edge (Canada) Inc,Business Services,Export Growth Program,5000,Halifax,Halifax Regional Municipality,B3P1K9,2018 - 2019,-63.617374,44.624443,POINT (-63.617374 44.624443)
189,Survival Systems Ltd,Oceans Technology,Export Growth Program,6850,Dartmouth,Halifax Regional Municipality,B2Y4W6,2018 - 2019,-63.539046,44.6562,POINT (-63.539046 44.6562)
190,QRA Corp,ICT (includes Digital Media),Export Growth Program,10438,Halifax,Halifax Regional Municipality,B3K5L2,2018 - 2019,-63.602819,44.659309,POINT (-63.602819 44.659309)
191,RIMOT.IO Inc,ICT (includes Digital Media),Export Growth Program,1547,Dartmouth,Halifax Regional Municipality,B2Y4M9,2018 - 2019,-63.542698,44.660305,POINT (-63.542698 44.660305)
192,Site 2020 Inc.,ICT (includes Digital Media),Export Growth Program,23625,Dartmouth,Halifax Regional Municipality,B3B1L3,2018 - 2019,-63.595664,44.704755,POINT (-63.595664 44.704755)
193,Social Navigator Inc,ICT (includes Digital Media),Export Growth Program,25000,Halifax,Halifax Regional Municipality,B3S0B9,2018 - 2019,-63.6851302,44.658753,POINT (-63.6851302 44.658753)
194,Eye Catch Signs Limited,Advanced Manufacturing,Export Growth Program,15000,Halifax,Halifax Regional Municipality,B3K3V4,2018 - 2019,-63.590323,44.654665,POINT (-63.590323 44.654665)
195,Flo Digital Inc,ICT (includes Digital Media),Export Growth Program,3232,Halifax,Halifax Regional Municipality,B3J2X2,2018 - 2019,-63.645986,44.648416,POINT (-63.645986 44.648416)
196,Focal Research Consultants Limited,Business Services,Export Growth Program,7300,Halifax,Halifax Regional Municipality,B3L2C2,2018 - 2019,-63.627898,44.653612,POINT (-63.627898 44.653612)
197,Journeyman Film Company  Ltd.,ICT (includes Digital Media),Export Growth Program,4565,Dartmouth,Halifax Regional Municipality,B2Y2S6,2018 - 2019,-63.566107,44.666248,POINT (-63.566107 44.666248)
198,Xeos Technologies Inc,Oceans Technology,Export Growth Program,15000,Dartmouth,Halifax Regional Municipality,B3B1L6,2018 - 2019,-63.604817,44.715039,POINT (-63.604817 44.715039)
199,APPILI Therapeutics,Life Sciences,Export Growth Program,15000,Halifax,Halifax Regional Municipality,B3H1A8,2018 - 2019,-63.573789,44.624478,POINT (-63.573789 44.624478)
200,Bereda Training Inc.,ICT (includes Digital Media),Export Growth Program,927,Halifax,Halifax Regional Municipality,B3J3K5,2018 - 2019,-63.572554,44.644489,POINT (-63.572554 44.644489)
201,Black Star Wealth Partners,Business Services,Export Growth Program,6125,Halifax,Halifax Regional Municipality,B3L1K9,2018 - 2019,-63.599571,44.649413,POINT (-63.599571 44.649413)
202,Cabbage Patch Kimchi,Agri-food,Export Growth Program,800,Halifax,Halifax Regional Municipality,B3H2S9,2018 - 2019,-63.573625,44.634901,POINT (-63.573625 44.634901)
203,Gorgeous Mistake Productions,Film Production,Export Growth Program,6962,Dartmouth,Halifax Regional Municipality,B3A2Y3,2018 - 2019,-63.574093,44.673505,POINT (-63.574093 44.673505)
204,Graphite Innovation and Technologies Inc.,Advanced Manufacturing,Export Growth Program,7425,Dartmouth,Halifax Regional Municipality,B2Y4M9,2018 - 2019,-63.542698,44.660305,POINT (-63.542698 44.660305)
205,Retail Deep,ICT (includes Digital Media),Export Growth Program,900,Halifax,Halifax Regional Municipality,B3J3K5,2018 - 2019,-63.572554,44.644489,POINT (-63.572554 44.644489)
206,BlueLight Analytics Inc,Life Sciences,Export Growth Program,25000,Halifax,Halifax Regional Municipality,B3L4G4,2018 - 2019,-63.620539,44.642071,POINT (-63.620539 44.642071)
207,DGI Clinical Inc.,Life Sciences,Export Growth Program,12908,Halifax,Halifax Regional Municipality,B3J2E3,2018 - 2019,-63.576047,44.646813,POINT (-63.576047 44.646813)
208,EcoPilot Canada Inc.,Engineering & Professional,Export Growth Program,8137,Halifax,Halifax Regional Municipality,B3J3L7,2018 - 2019,-63.575048,44.649083,POINT (-63.575048 44.649083)
209,Nodalblock Canada Holdings Inc.,ICT (includes Digital Media),Export Growth Program,2500,Halifax,Halifax Regional Municipality,B3J3N2,2018 - 2019,-63.57606155,44.65201157,POINT (-63.57606155 44.65201157)
210,Precision BioLogic Incorporated,Life Sciences,Export Growth Program,15000,Dartmouth,Halifax Regional Municipality,B3B0A9,2018 - 2019,-63.573165,44.695212,POINT (-63.573165 44.695212)
211,Climate Technical Gear,Advanced Manufacturing,Export Growth Program,12275,Dartmouth,Halifax Regional Municipality,B3B1S2,2018 - 2019,-63.592089,44.695586,POINT (-63.592089 44.695586)
212,DynaGen Technologies Incorporated,Advanced Manufacturing,Export Growth Program,5800,Dartmouth,Halifax Regional Municipality,B3B1W8,2018 - 2019,-63.579683,44.70058,POINT (-63.579683 44.70058)
213,Midgard Insect Farm Inc,Agri-food,Export Growth Program,13555,Halifax,Halifax Regional Municipality,B3L1V1,2018 - 2019,-63.602803,44.654196,POINT (-63.602803 44.654196)
214,Proven Marketing for Lawyers Inc.,Business Services,Export Growth Program,3246,Halifax,Halifax Regional Municipality,B3H4K6,2018 - 2019,-63.578788,44.637258,POINT (-63.578788 44.637258)
215,Vesuvius Media Ltd.,ICT (includes Digital Media),Export Growth Program,12808,Halifax,Halifax Regional Municipality,B3M1W8,2018 - 2019,-63.650445,44.676671,POINT (-63.650445 44.676671)
216,EOceans Research and Consulting Inc.,Oceans Technology,Export Growth Program,2800,Dartmouth,Halifax Regional Municipality,B2Y1T7,2018 - 2019,-63.555147,44.674503,POINT (-63.555147 44.674503)
217,JusNova Agriculture Ltd,Agri-food,Export Growth Program,12850,Halifax,Halifax Regional Municipality,B3M1N1,2018 - 2019,-63.641789,44.66397,POINT (-63.641789 44.66397)
218,MindSea Development Incorporated,ICT (includes Digital Media),Export Growth Program,25000,Halifax,Halifax Regional Municipality,B3J3M8,2018 - 2019,-63.5727,44.647395,POINT (-63.5727 44.647395)
219,Blois Fish Processing Automation Limited,Fish & Seafood Processing,Export Growth Program,13825,Dartmouth,Halifax Regional Municipality,B2V2S7,2018 - 2019,-63.476576,44.653288,POINT (-63.476576 44.653288)
220,Enginuity Inc.,Business Services,Export Growth Program,10315,Halifax,Halifax Regional Municipality,B3P1M1,2018 - 2019,-63.615546,44.619123,POINT (-63.615546 44.619123)
221,Fourth Wave Strategy Inc,Business Services,Export Growth Program,14901,Dartmouth,Halifax Regional Municipality,B2X3G1,2018 - 2019,-63.5417345,44.69860475,POINT (-63.5417345 44.69860475)
222,Duckish Natural Skin Care Limited,Advanced Manufacturing,Export Growth Program,5047,Halifax,Halifax Regional Municipality,B3L1K1,2018 - 2019,-63.595101,44.649822,POINT (-63.595101 44.649822)
223,Spritely Technologies Inc,ICT (includes Digital Media),Export Growth Program,7900,Halifax,Halifax Regional Municipality,B3S1E5,2018 - 2019,-63.665971,44.662523,POINT (-63.665971 44.662523)
224,Green Power Labs Inc,Energy,Export Growth Program,15000,Dartmouth,Halifax Regional Municipality,B2Y4M9,2018 - 2019,-63.542698,44.660305,POINT (-63.542698 44.660305)
225,Andrea Janzen Professional Coaching,Business Services,Export Growth Program,801,Halifax,Halifax Regional Municipality,B3L2S7,2018 - 2019,-63.599408,44.644887,POINT (-63.599408 44.644887)
226,Atlantic Ambassatours Ltd.,Business Services,Export Growth Program,3737,Halifax,Halifax Regional Municipality,B3K2V6,2018 - 2019,-63.619767,44.666131,POINT (-63.619767 44.666131)
227,Baie Run Pet Products Inc,Agri-food,Export Growth Program,14998,Halifax,Halifax Regional Municipality,B3J3N2,2018 - 2019,-63.57606155,44.65201157,POINT (-63.57606155 44.65201157)
228,Left Meets Right Creative Co,ICT (includes Digital Media),Export Growth Program,500,Halifax,Halifax Regional Municipality,B3K5V4,2018 - 2019,-63.614427,44.665139,POINT (-63.614427 44.665139)
229,Ruby Tree Films Inc.,Film Production,Export Growth Program,4698,Halifax,Halifax Regional Municipality,B3J2A1,2018 - 2019,-63.573748,44.646552,POINT (-63.573748 44.646552)
230,Success Through Trust Inc,Business Services,Export Growth Program,4748,Halifax,Halifax Regional Municipality,B3L2H3,2018 - 2019,-63.626126,44.648102,POINT (-63.626126 44.648102)
231,Black Dog Films / The Monster Productions Inc,Film Production,Export Growth Program,21119,Halifax,Halifax Regional Municipality,B3L1P4,2018 - 2019,-63.598415,44.652126,POINT (-63.598415 44.652126)
232,Efficiency Properties,ICT (includes Digital Media),Export Growth Program,6600,Halifax,Halifax Regional Municipality,B3K3P2,2018 - 2019,-63.605039,44.668481,POINT (-63.605039 44.668481)
233,Focal Technologies Corporation,Oceans Technology,Export Growth Program,15000,Dartmouth,Halifax Regional Municipality,B3B1Z4,2018 - 2019,-63.587502,44.711855,POINT (-63.587502 44.711855)
234,Glas Ocean Electric Inc,Energy,Export Growth Program,14250,Halifax,Halifax Regional Municipality,B3P2H3,2018 - 2019,-63.577884,44.615051,POINT (-63.577884 44.615051)
235,Roswall Development Incorporated,Energy,Export Growth Program,1000,Halifax,Halifax Regional Municipality,B3M2L3,2018 - 2019,-63.66099,44.683287,POINT (-63.66099 44.683287)
236,2 Crows Brewing Ltd,Agri-food,Export Growth Program,4675,Halifax,Halifax Regional Municipality,B3J2G7,2018 - 2019,-63.578146,44.649349,POINT (-63.578146 44.649349)
237,902HipHop Inc.,ICT (includes Digital Media),Export Growth Program,14868,Halifax,Halifax Regional Municipality,B3K4N7,2018 - 2019,-63.594931,44.654736,POINT (-63.594931 44.654736)
238,Lorax Systems Inc,Energy,Export Growth Program,4178,Dartmouth,Halifax Regional Municipality,B3B1S8,2018 - 2019,-63.588536,44.700833,POINT (-63.588536 44.700833)
239,Manage Your Spend,ICT (includes Digital Media),Export Growth Program,3322,Halifax,Halifax Regional Municipality,B3J3Z2,2018 - 2019,-63.569364,44.643446,POINT (-63.569364 44.643446)
240,Outdoor-Fit Exercise Systems,Advanced Manufacturing,Export Growth Program,7000,Dartmouth,Halifax Regional Municipality,B3B1M3,2018 - 2019,-63.611768,44.703405,POINT (-63.611768 44.703405)
241,Pictou Twist Pictures Inc,Film Production,Export Growth Program,7037,Halifax,Halifax Regional Municipality,B3J1J7,2018 - 2019,-63.573178,44.645217,POINT (-63.573178 44.645217)
242,Side Door Access Inc,ICT (includes Digital Media),Export Growth Program,1375,Halifax,Halifax Regional Municipality,B3K1H1,2018 - 2019,-63.588243,44.6524635,POINT (-63.588243 44.6524635)
243,Smarter Spaces Inc,Business Services,Export Growth Program,3349,Halifax,Halifax Regional Municipality,B3K5M4,2018 - 2019,-63.590281,44.662737,POINT (-63.590281 44.662737)
244,WarrierTech Inc,ICT (includes Digital Media),Export Growth Program,14979,Halifax,Halifax Regional Municipality,B3H1Y1,2018 - 2019,-63.5849,44.640901,POINT (-63.5849 44.640901)
245,SimplyCast Interactive Marketing LTD.,ICT (includes Digital Media),Export Growth Program,2625,Dartmouth,Halifax Regional Municipality,B2W6E2,2018 - 2019,-63.535262,44.681461,POINT (-63.535262 44.681461)
246,Omnitech Electronics Inc,Oceans Technology,Export Growth Program,12500,Dartmouth,Halifax Regional Municipality,B3B1J4,2018 - 2019,-63.611144,44.704132,POINT (-63.611144 44.704132)
247,TerraProForma (FORMERLY - Play the Field),ICT (includes Digital Media),Export Growth Program,15000,Halifax,Halifax Regional Municipality,B3H3W5,2018 - 2019,-63.593067,44.632894,POINT (-63.593067 44.632894)
248,Javitech Atlantic Ltd,Business Services,Export Growth Program,3081,Halifax,Halifax Regional Municipality,B3M2L8,2018 - 2019,-63.660842,44.693973,POINT (-63.660842 44.693973)
249,Blue Ocean Contact Centers,Business Services,Export Growth Program,15000,Halifax,Halifax Regional Municipality,B3L4V2,2018 - 2019,-63.623858,44.653361,POINT (-63.623858 44.653361)
250,Cut/Off/Tail Pictures,Film Production,Export Growth Program,1500,Halifax,Halifax Regional Municipality,B3V1M4,2018 - 2019,-63.653534,44.471319,POINT (-63.653534 44.471319)
251,The Discovery Centre International Inc.,Business Services,Export Growth Program,15000,Halifax,Halifax Regional Municipality,B3J3S8,2018 - 2019,-63.568235,44.64141,POINT (-63.568235 44.64141)
252,The Family Knife Marketing Consultancy Inc.,Business Services,Export Growth Program,5150,Halifax,Halifax Regional Municipality,B3L3G5,2018 - 2019,-63.613647,44.643919,POINT (-63.613647 44.643919)
253,B4Checkin Limited,ICT (includes Digital Media),Export Growth Program,4546,Halifax,Halifax Regional Municipality,B3J3S9,2018 - 2019,-63.586911,44.640361,POINT (-63.586911 44.640361)
254,Bandha Nutrition Products,Agri-food,Export Growth Program,2295,Halifax,Halifax Regional Municipality,B3J1Z2,2018 - 2019,-63.571931,44.643044,POINT (-63.571931 44.643044)
255,Dormie Golf Workshop Inc.,Advanced Manufacturing,Export Growth Program,8568,Halifax,Halifax Regional Municipality,B3K2Y3,2018 - 2019,-63.590301,44.660963,POINT (-63.590301 44.660963)
256,Dynamic Systems Analysis Ltd.,Oceans Technology,Export Growth Program,6725,Halifax,Halifax Regional Municipality,B3K4X8,2018 - 2019,-63.614939,44.661614,POINT (-63.614939 44.661614)
257,Ednaturals Bar,Agri-food,Export Growth Program,4620,Halifax,Halifax Regional Municipality,B3P1H5,2018 - 2019,-63.610642,44.617409,POINT (-63.610642 44.617409)
258,InterTalk Critical Information Systems Inc,ICT (includes Digital Media),Export Growth Program,5800,Dartmouth,Halifax Regional Municipality,B3B1J4,2018 - 2019,-63.611144,44.704132,POINT (-63.611144 44.704132)
259,Magic Rock Productions,Film Production,Export Growth Program,5000,Halifax,Halifax Regional Municipality,B3J1K9,2018 - 2019,-63.575676,44.645676,POINT (-63.575676 44.645676)
260,Mil-Aero Electronics Atlantic Inc,Advanced Manufacturing,Export Growth Program,2660,Dartmouth,Halifax Regional Municipality,B2Y4V9,2018 - 2019,-63.540249,44.657211,POINT (-63.540249 44.657211)
261,Partner International Inc,Business Services,Export Growth Program,15000,Dartmouth,Halifax Regional Municipality,B2Y4T6,2018 - 2019,-63.544976,44.661923,POINT (-63.544976 44.661923)
262,CBCL Limited,Energy,Export Growth Program,14820,Halifax,Halifax Regional Municipality,B3J2R7,2018 - 2019,-63.572435,44.651581,POINT (-63.572435 44.651581)
263,Clerisy Management Group Limited,Film Production,Export Growth Program,5500,Dartmouth,Halifax Regional Municipality,B3B1W9,2018 - 2019,-63.579685,44.69696,POINT (-63.579685 44.69696)
264,Cribcut,ICT (includes Digital Media),Export Growth Program,9375,Halifax,Halifax Regional Municipality,B3J3R7,2018 - 2019,-63.57614729,44.65208895,POINT (-63.57614729 44.65208895)
265,Current Studios Inc,ICT (includes Digital Media),Export Growth Program,15768,Halifax,Halifax Regional Municipality,B3J3X8,2018 - 2019,-63.576767,44.64669,POINT (-63.576767 44.64669)
266,Dugo Systems Inc,ICT (includes Digital Media),Export Growth Program,3600,Halifax,Halifax Regional Municipality,B3J3K5,2018 - 2019,-63.572554,44.644489,POINT (-63.572554 44.644489)
267,East Coast School of Languages (ECSL),Business Services,Export Growth Program,4519,Halifax,Halifax Regional Municipality,B3J1V6,2018 - 2019,-63.571891,44.646015,POINT (-63.571891 44.646015)
268,Fit First Holdings Inc.,Business Services,Export Growth Program,4400,Dartmouth,Halifax Regional Municipality,B3B1X2,2018 - 2019,-63.595848,44.710189,POINT (-63.595848 44.710189)
269,Iris Booth Incorporated,Business Services,Export Growth Program,11041,Halifax,Halifax Regional Municipality,B3K2Z8,2018 - 2019,-63.581653,44.651755,POINT (-63.581653 44.651755)
270,Lorax Systems Inc,Energy,Export Growth Program,10024,Dartmouth,Halifax Regional Municipality,B3B1S8,2018 - 2019,-63.588536,44.700833,POINT (-63.588536 44.700833)
271,Retail Deep,ICT (includes Digital Media),Export Growth Program,3675,Halifax,Halifax Regional Municipality,B3J3K5,2018 - 2019,-63.572554,44.644489,POINT (-63.572554 44.644489)
272,Tucan Olive Oil Company Ltd,Agri-food,Export Growth Program,2699,Dartmouth,Halifax Regional Municipality,B2W2P8,2018 - 2019,-63.519127,44.672757,POINT (-63.519127 44.672757)
273,4Deep Inwater Imaging,Oceans Technology,Export Growth Program,15000,Halifax,Halifax Regional Municipality,B4B1G2,2018 - 2019,-63.741086,44.724533,POINT (-63.741086 44.724533)
274,Arcadia Entertainment Inc.,Film Production,Export Growth Program,10109,Halifax,Halifax Regional Municipality,B3L1A9,2018 - 2019,-63.601752,44.644087,POINT (-63.601752 44.644087)
275,Bend Beauty Inc.,Life Sciences,Export Growth Program,9500,Halifax,Halifax Regional Municipality,B3J1C7,2018 - 2019,-63.577291,44.639639,POINT (-63.577291 44.639639)
276,Beta Glucan Company of Canada Inc.,Life Sciences,Export Growth Program,2150,Halifax,Halifax Regional Municipality,B3H4N3,2018 - 2019,-63.578083,44.629216,POINT (-63.578083 44.629216)
277,BlockCrushr Inc.,ICT (includes Digital Media),Export Growth Program,9200,Halifax,Halifax Regional Municipality,B3L2W4,2018 - 2019,-63.608409,44.653374,POINT (-63.608409 44.653374)
278,Boondoc Technologies Inc (The Rounds),ICT (includes Digital Media),Export Growth Program,18220,Halifax,Halifax Regional Municipality,B3K4X5,2018 - 2019,-63.611268,44.662185,POINT (-63.611268 44.662185)
279,Copernicus Labs Inc,ICT (includes Digital Media),Export Growth Program,13201,Halifax,Halifax Regional Municipality,B3J3P1,2018 - 2019,-63.616146,44.674409,POINT (-63.616146 44.674409)
280,Eosense Inc,Energy,Export Growth Program,5460,Dartmouth,Halifax Regional Municipality,B3B1E8,2018 - 2019,-63.613528,44.694128,POINT (-63.613528 44.694128)
281,ITO Seafoods Ltd,Fish & Seafood Processing,Export Growth Program,7400,Halifax,Halifax Regional Municipality,B3J3R3,2018 - 2019,-63.56899455,44.64269727,POINT (-63.56899455 44.64269727)
282,Momentum IT Group,ICT (includes Digital Media),Export Growth Program,10566,Halifax,Halifax Regional Municipality,B3J1Y2,2018 - 2019,-63.570421,44.64012,POINT (-63.570421 44.64012)
283,Prism Tradeshow Products Inc.,Advanced Manufacturing,Export Growth Program,14625,Dartmouth,Halifax Regional Municipality,B2Y4M9,2018 - 2019,-63.542698,44.660305,POINT (-63.542698 44.660305)
284,Trip Ninja,ICT (includes Digital Media),Export Growth Program,3750,Halifax,Halifax Regional Municipality,B3J2V1,2018 - 2019,-63.645986,44.648416,POINT (-63.645986 44.648416)
285,Uplift Content Inc,ICT (includes Digital Media),Export Growth Program,5750,Dartmouth,Halifax Regional Municipality,B2Y2G6,2018 - 2019,-63.553251,44.661883,POINT (-63.553251 44.661883)
286,Verb Interactive Inc.,Business Services,Export Growth Program,14970,Halifax,Halifax Regional Municipality,B3J2A2,2018 - 2019,-63.573726,44.646512,POINT (-63.573726 44.646512)
287,Wired Flare Inc,Business Services,Export Growth Program,9412,Dartmouth,Halifax Regional Municipality,B2V1N4,2018 - 2019,-63.456788,44.681162,POINT (-63.456788 44.681162)
288,Ocean Entertainment Ltd.,Film Production,Export Growth Program,15000,Halifax,Halifax Regional Municipality,B3K4T9,2018 - 2019,-63.593521,44.650817,POINT (-63.593521 44.650817)
289,Pisces Research Project Management Inc,Business Services,Export Growth Program,2065,Halifax,Halifax Regional Municipality,B3K2L9,2018 - 2019,-63.603725,44.669255,POINT (-63.603725 44.669255)
290,Survival Systems Ltd,Oceans Technology,Export Growth Program,7390,Dartmouth,Halifax Regional Municipality,B2Y4W6,2018 - 2019,-63.539046,44.6562,POINT (-63.539046 44.6562)
291,Dartmouth Metals and Bottle Limited,Advanced Manufacturing,Innovation Rebate Program,596613,Dartmouth,Halifax Regional Municipality,B3B1H9,2018 - 2019,-63.607766,44.702958,POINT (-63.607766 44.702958)
292,John Ross & Sons Ltd.,Advanced Manufacturing,Innovation Rebate Program,1070296,Halifax,Halifax Regional Municipality,B3S1B3,2018 - 2019,-63.663711,44.637971,POINT (-63.663711 44.637971)
293,Kilo Communications Inc,ICT (includes Digital Media),P&I Voucher,15000,Halifax,Halifax Regional Municipality,B3K1N1,2018 - 2019,-63.592032,44.656647,POINT (-63.592032 44.656647)
294,Hivetronics Limited,Agri-food,P&I Voucher,15000,Dartmouth,Halifax Regional Municipality,B2W4Z3,2018 - 2019,-63.503976,44.686741,POINT (-63.503976 44.686741)
295,Photodynamic Incorporated,Life Sciences,P&I Voucher,25000,Halifax,Halifax Regional Municipality,B3H1A8,2018 - 2019,-63.573789,44.624478,POINT (-63.573789 44.624478)
296,Axem Neurotechnology Inc.,Life Sciences,P&I Voucher,15000,Halifax,Halifax Regional Municipality,B3J3K5,2018 - 2019,-63.572554,44.644489,POINT (-63.572554 44.644489)
297,Focal Research Consultants Limited,Business Services,P&I Voucher,25000,Halifax,Halifax Regional Municipality,B3L2C2,2018 - 2019,-63.627898,44.653612,POINT (-63.627898 44.653612)
298,Nova Aquaponics Incorporated,Advanced Manufacturing,P&I Voucher,25000,Halifax,Halifax Regional Municipality,B3M3Y8,2018 - 2019,-63.667551,44.676453,POINT (-63.667551 44.676453)
299,Baie Run Pet Products Inc,Agri-food,P&I Voucher,15000,Halifax,Halifax Regional Municipality,B3J3N2,2018 - 2019,-63.57606155,44.65201157,POINT (-63.57606155 44.65201157)
300,Dugo Systems Inc,ICT (includes Digital Media),P&I Voucher,25000,Halifax,Halifax Regional Municipality,B3J3K5,2018 - 2019,-63.572554,44.644489,POINT (-63.572554 44.644489)
301,Grey Lit Matters Inc,ICT (includes Digital Media),P&I Voucher,15000,Halifax,Halifax Regional Municipality,B3P1A8,2018 - 2019,-63.608219,44.630968,POINT (-63.608219 44.630968)
302,The 7 Virtues Beauty Inc,Advanced Manufacturing,P&I Voucher,25000,Halifax,Halifax Regional Municipality,B3H1B1,2018 - 2019,-63.574296,44.624597,POINT (-63.574296 44.624597)
303,Duckish Natural Skin Care Limited,Advanced Manufacturing,P&I Voucher,25000,Halifax,Halifax Regional Municipality,B3L1K1,2018 - 2019,-63.595101,44.649822,POINT (-63.595101 44.649822)
304,Chelation Partners Incorporated,Life Sciences,P&I Voucher,25000,Halifax,Halifax Regional Municipality,B3H3Z1,2018 - 2019,-63.59645,44.637136,POINT (-63.59645 44.637136)
305,Alto Solar,Energy,P&I Voucher,15000,Halifax,Halifax Regional Municipality,B3L1P9,2018 - 2019,-63.599844,44.652427,POINT (-63.599844 44.652427)
306,Natural Ocean Products Inc.,ICT (includes Digital Media),P&I Voucher,25000,Halifax,Halifax Regional Municipality,B3V1L9,2018 - 2019,-63.62997,44.469104,POINT (-63.62997 44.469104)
307,Deprolabs Technology Inc.,ICT (includes Digital Media),P&I Voucher,15000,Halifax,Halifax Regional Municipality,B3S1G5,2018 - 2019,-63.673695,44.672237,POINT (-63.673695 44.672237)
308,EOceans Research and Consulting Inc.,Oceans Technology,P&I Voucher,15000,Dartmouth,Halifax Regional Municipality,B2Y1T7,2018 - 2019,-63.555147,44.674503,POINT (-63.555147 44.674503)
309,Mermaid Fare Inc,Agri-food,P&I Voucher,15000,Dartmouth,Halifax Regional Municipality,B2Y2W1,2018 - 2019,-63.56358,44.667535,POINT (-63.56358 44.667535)
310,ColorSmith,Life Sciences,P&I Voucher,15000,Halifax,Halifax Regional Municipality,B3H1T1,2018 - 2019,-63.58619,44.636159,POINT (-63.58619 44.636159)
311,Propel BioEnergy LTD.,Energy,P&I Voucher,15000,Dartmouth,Halifax Regional Municipality,B2X2A5,2018 - 2019,-63.536483,44.693342,POINT (-63.536483 44.693342)
312,Graphite Innovation and Technologies Inc.,Advanced Manufacturing,P&I Voucher,25000,Dartmouth,Halifax Regional Municipality,B2Y4M9,2018 - 2019,-63.542698,44.660305,POINT (-63.542698 44.660305)
313,PPT Labs Inc.,ICT (includes Digital Media),P&I Voucher,25000,Halifax,Halifax Regional Municipality,B3K3T7,2018 - 2019,-63.58727,44.652558,POINT (-63.58727 44.652558)
314,NovaResp Technologies Inc.,ICT (includes Digital Media),P&I Voucher,15000,Halifax,Halifax Regional Municipality,B3H4R4,2018 - 2019,-63.56954723,44.63642004,POINT (-63.56954723 44.63642004)
315,Midgard Insect Farm Inc,Agri-food,P&I Voucher,25000,Halifax,Halifax Regional Municipality,B3L1V1,2018 - 2019,-63.602803,44.654196,POINT (-63.602803 44.654196)
316,Green Power Labs Inc,Energy,P&I Voucher,25000,Dartmouth,Halifax Regional Municipality,B2Y4M9,2018 - 2019,-63.542698,44.660305,POINT (-63.542698 44.660305)
317,Spritely Technologies Inc,ICT (includes Digital Media),P&I Voucher,25000,Halifax,Halifax Regional Municipality,B3S1E5,2018 - 2019,-63.665971,44.662523,POINT (-63.665971 44.662523)
