Region id,Region,Location,Address,Phone,Hours
cnt1211,Dartmouth,Access Nova Scotia Centre,"250 Baker Drive, Russell Lake West",1-800-670-4357,8:30am-4:30pm
cnt1210,Halifax,Access Nova Scotia Centre,"300 Horseshoe Lake Drive, Bayers Lake Business Park",902-424-5200,8:30am-4:30pm
